name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,shotOffTarget,hitWoodwork,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,keyPass,wonContest,onTargetScoringAttempt,accurateCross,challengeLost,dispossessed,blockedScoringAttempt,totalOffside,bigChanceMissed,goals,captain,team,teamType,savedShotsFromInsideTheBox,totalKeeperSweeper,accurateKeeperSweeper
Iván Arboleda,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",,,1,False,9.0,6.0,4.0,1.0,0.0,1.0,1.0,90.0,22.0,6.1,3.0,"{'original': 6.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,
Helibelton Palacios,helibelton-palacios,H. Palacios,D,28,181.0,420,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",,,13,False,33.0,24.0,1.0,1.0,0.0,,,90.0,56.0,7.4,12.0,"{'original': 7.4, 'alternative': None}",1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,3.0,,,,,,,,,,,Millonarios,home,,,
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000,"{'value': 405000, 'currency': 'EUR'}",,,,6,False,34.0,32.0,1.0,1.0,0.0,,,90.0,44.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,1.0,,2.0,2.0,2.0,2.0,,1.0,1.0,1.0,,,1.0,,2.0,1.0,,,,,,,,,Millonarios,home,,,
Jorge Arias,jorge-arias,J. Arias,D,17,184.0,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800,"{'value': 370000, 'currency': 'EUR'}",,,,17,False,47.0,38.0,10.0,4.0,0.0,,,90.0,51.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,True,Millonarios,home,,,
Nicolás Giraldo,nicolas-giraldo,N. Giraldo,D,27,174.0,30,924581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,733363200,"{'value': 310000, 'currency': 'EUR'}",,,,27,False,38.0,29.0,5.0,,1.0,,,90.0,66.0,7.3,15.0,"{'original': 7.3, 'alternative': None}",1.0,,3.0,2.0,10.0,1.0,,,2.0,,2.0,3.0,3.0,,2.0,1.0,,1.0,2.0,,,,,,,Millonarios,home,,,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1050,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",Daniel Ruiz,,18,False,40.0,35.0,2.0,2.0,0.0,,,90.0,64.0,7.1,18.0,"{'original': 7.1, 'alternative': None}",5.0,,,3.0,3.0,3.0,1.0,,,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,2.0,,,,,Millonarios,home,,,
Dewar Victoria,dewar-victoria,D. Victoria,M,8,176.0,50,1164480,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,984960000,"{'value': 290000, 'currency': 'EUR'}",,Dewar Victoria,,8,False,22.0,19.0,2.0,1.0,0.0,,,45.0,27.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,Millonarios,home,,,
Nicolas Arevalo,arevalo-nicolas,N. Arévalo,M,5,176.0,100,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600,"{'value': 340000, 'currency': 'EUR'}",,,,5,False,57.0,51.0,2.0,,0.0,,,90.0,70.0,7.6,8.0,"{'original': 7.6, 'alternative': None}",1.0,,,4.0,4.0,1.0,2.0,,,,3.0,3.0,,4.0,1.0,1.0,1.0,,,,,,,,,Millonarios,home,,,
Jhon Córdoba,jhon-cordoba,J. Córdoba,M,15,181.0,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 1200000, 'currency': 'EUR'}",,,,15,False,13.0,12.0,,,0.0,,,45.0,20.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",1.0,,,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,,Millonarios,home,,,
Luis Marimón,luis-marimon,L. Marimón,F,43,,116,1835656,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079568000,,,Luis Marimón,,43,False,3.0,3.0,,,0.0,,,45.0,8.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,Millonarios,home,,,
