name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalTackle,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,dispossessed,totalContest,wonContest,blockedScoringAttempt,totalClearance,outfielderBlock,interceptionWon,fouls,keyPass,aerialLost,challengeLost,wasFouled,shotOffTarget,onTargetScoringAttempt,totalOffside,captain,team,teamType,punches,totalKeeperSweeper,accurateKeeperSweeper,goals,bigChanceCreated,hitWoodwork
Wuilker Faríñez,wuilker-farinez,W. Faríñez,G,1,181.0,1189,796930,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,887500800,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'و. فارينيز', 'hi': 'डब्लू. फ़रीनेज़', 'bn': 'ডব্লিউ. ফারিনজ'}}",,,1,False,19.0,12.0,9.0,3.0,0.0,1.0,1.0,1.0,1.0,90.0,29.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,,,
Jaen Pineda,jaen-pineda,J. Pineda,M,16,180.0,51,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 620000, 'currency': 'EUR'}",,,,16,False,42.0,33.0,4.0,2.0,0.0,10.0,4.0,,,90.0,70.0,7.6,15.0,"{'original': 7.6, 'alternative': None}",4.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,,,,,,,,Rionegro Águilas Doradas,home,,,,,,
Diego Hernández,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400,"{'value': 370000, 'currency': 'EUR'}",,,,5,False,23.0,19.0,7.0,4.0,0.0,2.0,,,,90.0,31.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,2.0,2.0,,1.0,,1.0,,,1.0,,,,,,,Rionegro Águilas Doradas,home,,,,,,
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,D,2,185.0,11,931697,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975801600,"{'value': 245000, 'currency': 'EUR'}",,,,2,False,33.0,26.0,9.0,4.0,0.0,2.0,,,,90.0,47.0,7.0,8.0,"{'original': 7, 'alternative': None}",,,1.0,2.0,,,,,9.0,2.0,1.0,1.0,,,1.0,1.0,,,,,Rionegro Águilas Doradas,home,,,,,,
Johan Caballero,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400,"{'value': 340000, 'currency': 'EUR'}",,,,23,False,12.0,11.0,2.0,1.0,0.0,2.0,1.0,,,66.0,18.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",1.0,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,Rionegro Águilas Doradas,home,,,,,,
Javier Alexander Mena,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000,,,,,32,False,16.0,9.0,,,0.0,2.0,,,,90.0,28.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,1.0,1.0,,1.0,,,,2.0,1.0,,,,Rionegro Águilas Doradas,home,,,,,,
Fredy Salazar,fredy-salazar,F. Salazar,F,20,178.0,86,822092,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796694400,"{'value': 855000, 'currency': 'EUR'}",,,,20,False,38.0,33.0,2.0,1.0,0.0,6.0,1.0,,,90.0,61.0,7.9,13.0,"{'original': 7.9, 'alternative': None}",8.0,2.0,,2.0,1.0,3.0,2.0,,1.0,,,,3.0,,,3.0,1.0,2.0,,,Rionegro Águilas Doradas,home,,,,,,
Yony González,yony-gonzalez,Y. González,F,11,182.0,355,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 545000, 'currency': 'EUR'}",,,,11,False,14.0,12.0,2.0,1.0,0.0,3.0,1.0,,,65.0,19.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,5.0,,1.0,,2.0,,,,3.0,,1.0,,1.0,,,,,Rionegro Águilas Doradas,home,,,,,,
Harrinson Mancilla,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000,"{'value': 49000, 'currency': 'EUR'}",,,,27,False,40.0,30.0,2.0,,0.0,5.0,2.0,,,86.0,51.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",,,1.0,5.0,,2.0,,,1.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,,Rionegro Águilas Doradas,home,,,,,,
Jesús Rivas,jesus-rivas,J. Rivas,M,22,175.0,56,882616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,860284800,"{'value': 820000, 'currency': 'EUR'}",,,,22,False,36.0,31.0,2.0,1.0,0.0,2.0,,,,90.0,48.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",3.0,,,4.0,1.0,1.0,1.0,,,,,2.0,2.0,,1.0,1.0,4.0,,,,Rionegro Águilas Doradas,home,,,,,,
