name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,totalContest,shotOffTarget,interceptionWon,totalTackle,wasFouled,fouls,keyPass,aerialWon,challengeLost,totalClearance,outfielderBlock,aerialLost,blockedScoringAttempt,ownGoals,dispossessed,onTargetScoringAttempt,wonContest,accurateCross,bigChanceMissed,penaltyMiss,totalOffside,captain,team,teamType,fieldTranslations,penaltySave,penaltyConceded
Geovanni Banguera,geovanni-banguera,G. Banguera,G,12,187.0,22,823233,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,818985600,"{'value': 385000, 'currency': 'EUR'}",,,12,False,18.0,16.0,7.0,5.0,0.0,1.0,1.0,90.0,23.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Mateo Puerta,mateo-puerta,M. Puerta,D,4,172.0,9,841081,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600,"{'value': 730000, 'currency': 'EUR'}",,,4,False,28.0,22.0,2.0,1.0,0.0,,,73.0,42.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,D,2,185.0,11,931697,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975801600,"{'value': 245000, 'currency': 'EUR'}",,,2,False,59.0,49.0,9.0,4.0,0.0,,,90.0,66.0,7.2,10.0,"{'original': 7.2, 'alternative': None}",,1.0,4.0,,2.0,,2.0,,,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Diego Hernández,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400,"{'value': 370000, 'currency': 'EUR'}",,,5,False,55.0,46.0,5.0,3.0,0.0,,,90.0,66.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,2.0,7.0,,,1.0,3.0,,1.0,,4.0,,3.0,,1.0,1.0,1.0,,,,,,,,,Rionegro Águilas Doradas,home,,,
Jhojan Escobar,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400,"{'value': 140000, 'currency': 'EUR'}",Jhojan Escobar,,6,False,36.0,28.0,2.0,,0.0,,,90.0,53.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",3.0,3.0,5.0,,,2.0,,3.0,,,2.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,Rionegro Águilas Doradas,home,,,
Jaen Pineda,jaen-pineda,J. Pineda,M,16,180.0,52,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 620000, 'currency': 'EUR'}",,,16,False,36.0,31.0,,,0.0,,,45.0,40.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,2.0,3.0,,2.0,,,,2.0,,3.0,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Guillermo Celis,guillermo-celis,G. Celis,M,28,177.0,89,329583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736819200,"{'value': 470000, 'currency': 'EUR'}",,,28,False,61.0,59.0,1.0,,0.0,,,90.0,70.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",,,2.0,,1.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,,True,Rionegro Águilas Doradas,home,,,
Jesús Rivas,jesus-rivas,J. Rivas,M,22,175.0,56,882616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,860284800,"{'value': 820000, 'currency': 'EUR'}",,,22,False,50.0,43.0,10.0,6.0,0.0,,,82.0,69.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",1.0,3.0,4.0,1.0,,2.0,1.0,2.0,2.0,,,,,1.0,,3.0,,1.0,,1.0,,,,,,Rionegro Águilas Doradas,home,,,
Fredy Salazar,fredy-salazar,F. Salazar,F,20,178.0,87,822092,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796694400,"{'value': 855000, 'currency': 'EUR'}",,,20,False,44.0,33.0,6.0,2.0,0.0,,,90.0,80.0,7.4,27.0,"{'original': 7.4, 'alternative': None}",10.0,8.0,5.0,4.0,1.0,,,3.0,2.0,5.0,,,,,,,,4.0,,2.0,4.0,,,,,Rionegro Águilas Doradas,home,,,
Cristian Borja,borja-cristian,C. Martínez,F,,184.0,115,312194,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,567993600,"{'value': 105000, 'currency': 'EUR'}",,,17,False,8.0,5.0,,,0.0,,,45.0,11.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Yony González,yony-gonzalez,Y. González,F,11,182.0,356,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 545000, 'currency': 'EUR'}",,,11,False,15.0,13.0,,,0.0,,,73.0,25.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",2.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,Rionegro Águilas Doradas,home,,,
Wilson Morelo,wilson-morelo,W. Morelo,F,19,170.0,128,47286,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,548553600,"{'value': 53000, 'currency': 'EUR'}",,,19,True,12.0,12.0,2.0,2.0,0.0,,,45.0,18.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,1.0,2.0,,,1.0,,2.0,,1.0,,,,,1.0,,,,2.0,,,1.0,1.0,,,Rionegro Águilas Doradas,home,,,
Antony Vásquez,antony-vasquez,A. Vásquez,F,9,178.0,25,1139960,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1025308800,,Antony Vásquez,,9,True,8.0,8.0,,,0.0,,,45.0,13.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,Rionegro Águilas Doradas,home,,,
Dylan Lozano,dylan-lozano,D. Lozano,D,26,,9,1139988,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026691200,"{'value': 270000, 'currency': 'EUR'}",Dylan Lozano,,26,True,6.0,6.0,,,0.0,,,17.0,7.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,1.0,,Rionegro Águilas Doradas,home,,,
Johan Caballero,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400,"{'value': 340000, 'currency': 'EUR'}",,,23,True,13.0,11.0,1.0,1.0,0.0,,,17.0,19.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,1.0,2.0,,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,,Rionegro Águilas Doradas,home,,,
Tomás Salazar,tomas-salazar,T. Salazar,M,8,178.0,8,979933,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960508800,"{'value': 52000, 'currency': 'EUR'}",,,8,True,3.0,3.0,,,0.0,,,8.0,5.0,6.6,,"{'original': 6.6, 'alternative': None}",,2.0,1.0,1.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,Rionegro Águilas Doradas,home,,,
Sebastián Guerra,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000,"{'value': 52000, 'currency': 'EUR'}",,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Harrinson Mancilla,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000,"{'value': 49000, 'currency': 'EUR'}",,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Aldair Quintana,aldair-quintana,A. Quintana,G,1,194.0,154,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 930000, 'currency': 'EUR'}",,,1,False,24.0,12.0,18.0,6.0,0.0,4.0,4.0,90.0,34.0,8.1,12.0,"{'original': 8.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,1.0,
