name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,challengeLost,dispossessed,totalContest,wonContest,outfielderBlock,totalTackle,keyPass,aerialLost,interceptionWon,wasFouled,fouls,aerialWon,shotOffTarget,onTargetScoringAttempt,goals,blockedScoringAttempt,totalOffside,captain,team,teamType,bigChanceCreated,bigChanceMissed
Wuilker Faríñez,wuilker-farinez,W. Faríñez,G,1,181.0,1185,796930,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,887500800,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'و. فارينيز', 'hi': 'डब्लू. फ़रीनेज़', 'bn': 'ডব্লিউ. ফারিনজ'}}",,,1,False,13.0,4.0,13.0,4.0,0.0,1.0,2.0,5.0,6.0,90.0,27.0,7.7,9.0,"{'original': 7.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,
Dylan Lozano,dylan-lozano,D. Lozano,D,26,,9,1139988,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026691200,"{'value': 270000, 'currency': 'EUR'}",,Dylan Lozano,,26,False,14.0,9.0,4.0,2.0,0.0,4.0,1.0,,,90.0,34.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",2.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,Rionegro Águilas Doradas,home,,
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,D,2,185.0,11,931697,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975801600,"{'value': 245000, 'currency': 'EUR'}",,,,2,False,15.0,8.0,11.0,4.0,0.0,1.0,6.0,,,90.0,25.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,Rionegro Águilas Doradas,home,,
Nicolás Lara,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400,"{'value': 160000, 'currency': 'EUR'}",,Nicolás Lara,,30,False,14.0,8.0,5.0,1.0,0.0,,3.0,,,45.0,21.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",,,2.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,Rionegro Águilas Doradas,home,,
Javier Alexander Mena,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000,,,,,32,False,21.0,15.0,5.0,1.0,0.0,9.0,2.0,,,90.0,40.0,7.4,10.0,"{'original': 7.4, 'alternative': None}",1.0,,2.0,1.0,,2.0,2.0,2.0,5.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,Rionegro Águilas Doradas,home,,
Diego Hernández,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400,"{'value': 370000, 'currency': 'EUR'}",,,,5,False,17.0,9.0,8.0,4.0,0.0,3.0,9.0,,,90.0,32.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,,3.0,1.0,,,,,1.0,,,2.0,,2.0,2.0,,,,,,,Rionegro Águilas Doradas,home,,
Jesús Rivas,jesus-rivas,J. Rivas,M,22,175.0,56,882616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,860284800,"{'value': 820000, 'currency': 'EUR'}",,,,22,False,31.0,25.0,3.0,,0.0,7.0,1.0,,,90.0,50.0,7.6,12.0,"{'original': 7.6, 'alternative': None}",1.0,,5.0,,1.0,2.0,2.0,,4.0,1.0,,1.0,1.0,4.0,,1.0,1.0,1.0,,,,Rionegro Águilas Doradas,home,,
Fredy Salazar,fredy-salazar,F. Salazar,F,20,178.0,87,822092,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796694400,"{'value': 855000, 'currency': 'EUR'}",,,,20,False,36.0,30.0,,,1.0,2.0,1.0,,,87.0,48.0,7.4,8.0,"{'original': 7.4, 'alternative': None}",3.0,1.0,2.0,,,,,,,3.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,True,Rionegro Águilas Doradas,home,,
Yony González,yony-gonzalez,Y. González,F,11,182.0,356,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 545000, 'currency': 'EUR'}",,,,11,False,17.0,11.0,2.0,1.0,0.0,5.0,3.0,,,90.0,34.0,7.2,12.0,"{'original': 7.2, 'alternative': None}",,,3.0,,,1.0,1.0,,,1.0,2.0,,3.0,1.0,1.0,2.0,1.0,,1.0,1.0,,Rionegro Águilas Doradas,home,,
Johan Caballero,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400,"{'value': 340000, 'currency': 'EUR'}",,,,23,False,27.0,18.0,10.0,4.0,0.0,3.0,1.0,,,83.0,41.0,7.3,13.0,"{'original': 7.3, 'alternative': None}",,,3.0,,1.0,,,,2.0,,1.0,,1.0,1.0,,,2.0,1.0,,2.0,,Rionegro Águilas Doradas,home,,
