name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,outfielderBlock,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,totalClearance,interceptionWon,totalTackle,penaltyConceded,fouls,clearanceOffLine,totalCross,wonContest,wasFouled,dispossessed,keyPass,onTargetScoringAttempt,shotOffTarget,blockedScoringAttempt,accurateCross,goals,captain,team,teamType,penaltyWon,totalOffside
Rogerio Caicedo,rogerio-caicedo,R. Caicedo,G,1,187.0,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600,"{'value': 97000, 'currency': 'EUR'}",,,,1,False,20.0,17.0,9.0,6.0,0.0,1.0,2.0,90.0,26.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Elian Peralta,elian-peralta,E. Peralta,D,4,,3,1066612,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981590400,,Elian Peralta,,,4,False,15.0,11.0,3.0,1.0,0.0,,,45.0,21.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",1.0,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,
Kevin Riascos,kevin-riascos,K. Riascos,D,2,188.0,16,986979,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,803692800,"{'value': 140000, 'currency': 'EUR'}",,,,3,False,48.0,38.0,11.0,6.0,0.0,,,90.0,66.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",,3.0,5.0,6.0,7.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,True,Boyacá Chicó FC,home,,
Andres Aedo,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400,"{'value': 145000, 'currency': 'EUR'}",Andres Aedo,,,6,False,36.0,29.0,7.0,4.0,0.0,,,90.0,42.0,7.0,7.0,"{'original': 7, 'alternative': None}",1.0,1.0,,4.0,1.0,1.0,,4.0,,1.0,,2.0,1.0,,,,,,,,,,,,Boyacá Chicó FC,home,,
Yaliston Martínez,yaliston-martinez,Y. Martínez,D,5,173.0,6,1116583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957312000,"{'value': 52000, 'currency': 'EUR'}",Yaliston Martínez,,,5,False,14.0,9.0,1.0,,0.0,,,83.0,33.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",,3.0,,5.0,5.0,,1.0,3.0,,1.0,,2.0,,3.0,1.0,3.0,,,,,,,,,Boyacá Chicó FC,home,,
Kevin Londoño,kevin-londono,K. Londoño,M,27,180.0,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800,"{'value': 440000, 'currency': 'EUR'}",Kevin Londoño,,,27,False,38.0,36.0,7.0,5.0,0.0,,,90.0,48.0,7.0,5.0,"{'original': 7, 'alternative': None}",,1.0,1.0,4.0,2.0,1.0,,4.0,2.0,1.0,,1.0,,1.0,,,1.0,2.0,,,,,,,Boyacá Chicó FC,home,,
Sebastian Salazar,sebastian-salazar,S. Salazar,M,8,180.0,8,789908,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812419200,"{'value': 215000, 'currency': 'EUR'}",,,,8,False,18.0,15.0,2.0,1.0,0.0,,,39.0,20.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,Boyacá Chicó FC,home,,
Yael López,yael-lopez,Y. López,D,22,178.0,33,971249,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,913852800,"{'value': 205000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. لوبيز', 'hi': 'वाए. लोपेज़', 'bn': 'ওয়াই. লোপেজ'}}",22,False,25.0,16.0,3.0,,0.0,,,83.0,39.0,6.7,13.0,"{'original': 6.7, 'alternative': None}",,1.0,,2.0,2.0,,1.0,,1.0,,,,,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,Boyacá Chicó FC,home,,
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400,"{'value': 53000, 'currency': 'EUR'}",,,,10,False,25.0,23.0,1.0,1.0,0.0,,,77.0,38.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",,,,6.0,1.0,,4.0,1.0,,,,,,1.0,1.0,,3.0,2.0,1.0,,1.0,,,,Boyacá Chicó FC,home,,
Eduardo Banguero,eduardo-banguero,E. Banguero,D,22,177.0,14,963284,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981244800,"{'value': 410000, 'currency': 'EUR'}",,,,14,False,16.0,11.0,,,1.0,,,90.0,44.0,6.6,22.0,"{'original': 6.6, 'alternative': None}",,1.0,,6.0,1.0,,5.0,1.0,,,,,,12.0,,1.0,,2.0,1.0,,,1.0,,,Boyacá Chicó FC,home,,
