name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,shotOffTarget,blockedScoringAttempt,interceptionWon,totalTackle,totalClearance,fouls,wasFouled,keyPass,outfielderBlock,wonContest,bigChanceMissed,onTargetScoringAttempt,goals,totalOffside,penaltyMiss,penaltyWon,captain,team,teamType,goodHighClaim,penaltySave,penaltyConceded,bigChanceCreated
Cristopher Fiermarín,,,cristopher-fiermarin,C. Fiermarín,G,22,189.0,104,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800,"{'value': 1400000, 'currency': 'EUR'}",,22,False,20.0,16.0,12.0,8.0,0.0,1.0,5.0,90.0,31.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,,,
Yhorman Hurtado,,,hurtado-yhorman,Y. Hurtado,D,26,170.0,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600,"{'value': 535000, 'currency': 'EUR'}",,26,False,47.0,36.0,6.0,2.0,0.0,,,90.0,71.0,6.3,16.0,"{'original': 6.3, 'alternative': None}",2.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,Deportes Tolima,home,,,,
Jhon Quiñónes,Jhon Quiñónes,,jhon-quinones,J. Quiñónes,D,4,188.0,13,1494091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1082073600,,,4,False,37.0,33.0,5.0,3.0,0.0,,,90.0,42.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,,2.0,2.0,4.0,3.0,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,Deportes Tolima,home,,,,
Anderson Angulo,,,anderson-angulo,A. Angulo,D,2,187.0,25,925127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828316800,"{'value': 570000, 'currency': 'EUR'}",,2,False,63.0,53.0,14.0,9.0,0.0,,,90.0,67.0,6.4,11.0,"{'original': 6.4, 'alternative': None}",,,1.0,3.0,4.0,5.0,1.0,,,,,,1.0,,2.0,1.0,,,,,,,,,,,Deportes Tolima,home,,,,
Samuel Velásquez,Samuel Velásquez,,samuel-velasquez,S. Velásquez,D,33,174.0,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",33,False,42.0,36.0,5.0,2.0,0.0,,,90.0,62.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,3.0,2.0,,,1.0,2.0,,,1.0,3.0,1.0,,3.0,,,,,,,,,,Deportes Tolima,home,,,,
Cristian Trujillo,,,cristian-trujillo,C. Trujillo,M,6,174.0,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800,"{'value': 580000, 'currency': 'EUR'}",,6,False,45.0,35.0,9.0,5.0,0.0,,,90.0,54.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",,,,,1.0,4.0,,,,,,2.0,2.0,2.0,1.0,2.0,,1.0,,,,,,,,True,Deportes Tolima,home,,,,
Brayan Rovira,,,brayan-rovira,B. Rovira,M,80,177.0,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800,"{'value': 640000, 'currency': 'EUR'}",,80,False,29.0,23.0,7.0,3.0,0.0,,,78.0,37.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",3.0,1.0,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,Deportes Tolima,home,,,,
Jersson González,,,jersson-gonzalez,J. González,M,7,172.0,89,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000,"{'value': 955000, 'currency': 'EUR'}",,7,False,14.0,9.0,1.0,,0.0,,,59.0,27.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",2.0,1.0,1.0,1.0,4.0,4.0,,1.0,3.0,,,,,,,2.0,2.0,,1.0,,,,,,,,Deportes Tolima,home,,,,
Jader Quinones,Jader Quiñónes,,quinones-jader,J. Quiñónes,M,42,170.0,107,1129437,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976579200,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. جادر', 'hi': 'जे. क्विनोन', 'bn': 'জে. কুইনস'}}",42,False,27.0,25.0,2.0,2.0,0.0,,,59.0,37.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",2.0,1.0,,,3.0,2.0,,2.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,Deportes Tolima,home,,,,
Kevin Pérez,,,kevin-perez,K. Pérez,M,18,170.0,40,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000,"{'value': 605000, 'currency': 'EUR'}",,18,False,22.0,14.0,2.0,2.0,0.0,,,68.0,34.0,6.4,15.0,"{'original': 6.4, 'alternative': None}",1.0,,1.0,,7.0,4.0,,3.0,2.0,,1.0,,,,2.0,3.0,,,1.0,,,,,,,,Deportes Tolima,home,,,,
