name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,outfielderBlock,interceptionWon,totalTackle,fouls,aerialLost,wasFouled,challengeLost,totalContest,keyPass,accurateCross,wonContest,dispossessed,totalOffside,goals,hitWoodwork,captain,team,teamType,fieldTranslations,goodHighClaim,penaltyConceded
Victor Cabezas,victor-cabezas,V. Cabezas,G,12,191.0,3,829963,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878428800.0,"{'value': 52000, 'currency': 'EUR'}",,,12,False,21.0,14.0,16.0,9.0,0.0,1.0,1.0,1.0,90.0,25.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,
Israel Alba,israel-alba,I. Alba,D,22,175.0,19,822106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799718400.0,"{'value': 430000, 'currency': 'EUR'}",,,22,False,29.0,22.0,4.0,2.0,0.0,4.0,,,90.0,57.0,7.8,16.0,"{'original': 7.8, 'alternative': None}",6.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,True,Deportivo Pasto,home,,,
Brayan Carabalí,brayan-carabali,B. Carabalí,D,2,188.0,19,974303,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919900800.0,"{'value': 385000, 'currency': 'EUR'}",,,2,False,27.0,24.0,6.0,3.0,0.0,8.0,,,90.0,42.0,7.3,4.0,"{'original': 7.3, 'alternative': None}",,2.0,1.0,4.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,Deportivo Pasto,home,,,
Joyce Ossa,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000.0,"{'value': 280000, 'currency': 'EUR'}",Joyce Ossa,,23,False,21.0,16.0,6.0,2.0,0.0,7.0,,,90.0,31.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,3.0,4.0,3.0,,,,1.0,,,2.0,,,1.0,1.0,,,,,,,,,Deportivo Pasto,home,,,
Edwin Velasco,edwin-velasco,E. Velasco,D,21,178.0,47,358144,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,689299200.0,"{'value': 265000, 'currency': 'EUR'}",,,21,False,33.0,24.0,9.0,3.0,0.0,5.0,,,90.0,42.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",,,2.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,Deportivo Pasto,home,,,
Mauricio Castaño,mauricio-castano,M. Castaño,D,20,177.0,13,1098313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600.0,"{'value': 105000, 'currency': 'EUR'}",Mauricio Castaño,,20,False,29.0,26.0,4.0,1.0,0.0,5.0,,,90.0,49.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",3.0,1.0,2.0,4.0,,,,,1.0,2.0,,,1.0,,2.0,1.0,3.0,,,,,,,Deportivo Pasto,home,,,
Déinner Quiñones,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200.0,"{'value': 515000, 'currency': 'EUR'}",,,70,False,26.0,22.0,1.0,1.0,0.0,,,,85.0,38.0,7.0,9.0,"{'original': 7, 'alternative': None}",1.0,,2.0,6.0,,,,,,,,,4.0,,4.0,1.0,,2.0,,,,,,Deportivo Pasto,home,,,
Johan Caicedo,johan-caicedo,J. Caicedo,M,6,,53,1170681,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079049600.0,"{'value': 455000, 'currency': 'EUR'}",Johan Caicedo,,6,False,48.0,42.0,9.0,7.0,0.0,2.0,,,90.0,58.0,7.0,7.0,"{'original': 7, 'alternative': None}",,1.0,6.0,4.0,2.0,,,,1.0,,3.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,Deportivo Pasto,home,,,
Juan Castilla,juan-castilla,J. Castilla,M,13,172.0,177,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400.0,"{'value': 440000, 'currency': 'EUR'}",,,13,False,35.0,31.0,4.0,3.0,0.0,2.0,,,90.0,46.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",3.0,,3.0,2.0,,,,,1.0,,2.0,1.0,2.0,,,1.0,1.0,,,,,,,Deportivo Pasto,home,,,
Gustavo Torres,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800.0,"{'value': 320000, 'currency': 'EUR'}",,,9,False,23.0,18.0,,,0.0,,,,69.0,35.0,7.2,9.0,"{'original': 7.2, 'alternative': None}",,4.0,8.0,8.0,3.0,,,,,2.0,2.0,5.0,2.0,,,1.0,,,1.0,1.0,,,,Deportivo Pasto,home,,,
