name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,totalTackle,totalOffside,shotOffTarget,interceptionWon,blockedScoringAttempt,fouls,accurateCross,keyPass,dispossessed,totalContest,wonContest,hitWoodwork,wasFouled,bigChanceCreated,captain,team,teamType,bigChanceMissed
Wuilker Faríñez,wuilker-farinez,W. Faríñez,G,1,181.0,1185,796930,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,887500800.0,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'و. فارينيز', 'hi': 'डब्लू. फ़रीनेज़', 'bn': 'ডব্লিউ. ফারিনজ'}}",,,1,False,18.0,7.0,12.0,1.0,0.0,2.0,3.0,90.0,26.0,6.0,11.0,"{'original': 6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,
Dylan Lozano,dylan-lozano,D. Lozano,D,26,,9,1139988,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026691200.0,"{'value': 270000, 'currency': 'EUR'}",,Dylan Lozano,,26,False,20.0,16.0,2.0,1.0,0.0,,,90.0,36.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,D,2,185.0,11,931697,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975801600.0,"{'value': 245000, 'currency': 'EUR'}",,,,2,False,46.0,32.0,16.0,4.0,0.0,,,90.0,60.0,6.7,15.0,"{'original': 6.7, 'alternative': None}",,2.0,1.0,2.0,2.0,,1.0,,4.0,1.0,1.0,,1.0,3.0,,,,,,,,,,,,Rionegro Águilas Doradas,home,
Diego Hernández,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400.0,"{'value': 370000, 'currency': 'EUR'}",,,,5,False,47.0,33.0,8.0,3.0,0.0,,,90.0,60.0,6.5,14.0,"{'original': 6.5, 'alternative': None}",,,2.0,1.0,2.0,,,,7.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,Rionegro Águilas Doradas,home,
Javier Alexander Mena,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000.0,,,,,32,False,21.0,14.0,3.0,,1.0,,,90.0,40.0,6.4,14.0,"{'original': 6.4, 'alternative': None}",2.0,2.0,3.0,3.0,4.0,,,,5.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,Rionegro Águilas Doradas,home,
Yony González,yony-gonzalez,Y. González,F,11,182.0,356,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800.0,"{'value': 545000, 'currency': 'EUR'}",,,,11,False,25.0,21.0,2.0,2.0,0.0,,,90.0,42.0,8.0,11.0,"{'original': 8, 'alternative': None}",2.0,3.0,3.0,4.0,9.0,,1.0,1.0,,,2.0,,1.0,,1.0,,,2.0,1.0,2.0,2.0,1.0,2.0,,,Rionegro Águilas Doradas,home,
Guillermo Celis,guillermo-celis,G. Celis,M,28,177.0,89,329583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736819200.0,"{'value': 470000, 'currency': 'EUR'}",,,,28,False,12.0,10.0,2.0,1.0,0.0,,,45.0,18.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,3.0,,3.0,,,,,3.0,1.0,,,,,,,,,,,,,,,True,Rionegro Águilas Doradas,home,
Fredy Salazar,fredy-salazar,F. Salazar,F,20,178.0,87,822092,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796694400.0,"{'value': 855000, 'currency': 'EUR'}",,,,20,False,55.0,45.0,2.0,1.0,1.0,,,90.0,86.0,8.5,26.0,"{'original': 8.5, 'alternative': None}",18.0,1.0,,2.0,5.0,,1.0,,,,3.0,,1.0,1.0,1.0,,5.0,6.0,1.0,1.0,1.0,,1.0,1.0,,Rionegro Águilas Doradas,home,
Jesús Rivas,jesus-rivas,J. Rivas,M,22,175.0,56,882616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,860284800.0,"{'value': 820000, 'currency': 'EUR'}",,,,22,False,67.0,59.0,7.0,4.0,0.0,,,90.0,83.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",,2.0,1.0,4.0,4.0,,,,1.0,,,,2.0,2.0,,1.0,,,1.0,1.0,1.0,,2.0,,,Rionegro Águilas Doradas,home,
Johan Caballero,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400.0,"{'value': 340000, 'currency': 'EUR'}",,,,23,False,25.0,24.0,1.0,1.0,0.0,,,71.0,44.0,7.0,5.0,"{'original': 7, 'alternative': None}",2.0,1.0,,2.0,3.0,,1.0,,4.0,,1.0,,,1.0,,1.0,,1.0,,,,,2.0,,,Rionegro Águilas Doradas,home,
Wilson Morelo,wilson-morelo,W. Morelo,F,19,170.0,128,47286,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,548553600.0,"{'value': 53000, 'currency': 'EUR'}",,,,19,False,20.0,18.0,1.0,1.0,0.0,,,87.0,28.0,7.7,5.0,"{'original': 7.7, 'alternative': None}",,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,2.0,,,,,2.0,,,,,2.0,,,Rionegro Águilas Doradas,home,
Nicolás Lara,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400.0,"{'value': 160000, 'currency': 'EUR'}",,Nicolás Lara,,30,True,19.0,12.0,6.0,2.0,0.0,,,45.0,28.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,1.0,,1.0,3.0,,,,4.0,1.0,1.0,,,,,,,,,,,,2.0,,,Rionegro Águilas Doradas,home,
Jhojan Escobar,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400.0,"{'value': 140000, 'currency': 'EUR'}",,Jhojan Escobar,,6,True,5.0,4.0,1.0,1.0,0.0,,,19.0,10.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,1.0,2.0,2.0,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,Rionegro Águilas Doradas,home,
Royner Benitez,benitez-royner,R. Benitez,M,90,173.0,75,1466673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119312000.0,"{'value': 53000, 'currency': 'EUR'}",,Royner Benitez,,90,True,1.0,1.0,,,0.0,,,3.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,
Sebastián Guerra,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000.0,"{'value': 52000, 'currency': 'EUR'}",,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,
Felipe Aguilar,felipe-aguilar,F. Aguilar,D,3,190.0,171,329577,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727488000.0,"{'value': 310000, 'currency': 'EUR'}",,,,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,
Tomás Salazar,tomas-salazar,T. Salazar,M,8,178.0,8,979933,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960508800.0,"{'value': 52000, 'currency': 'EUR'}",,,,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,
Auli Oliveros,auli-oliveros,A. Oliveros,M,33,175.0,43,1015631,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996624000.0,"{'value': 230000, 'currency': 'EUR'}",,,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,
Salvador Ichazo,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",,,1,False,24.0,9.0,19.0,5.0,0.0,2.0,3.0,90.0,28.0,6.1,16.0,"{'original': 6.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,
Walmer Pacheco,walmer-pacheco,W. Pacheco,D,21,172.0,52,819169,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,790214400.0,"{'value': 700000, 'currency': 'EUR'}",,,,21,False,27.0,19.0,3.0,1.0,0.0,,,74.0,43.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",3.0,,2.0,1.0,2.0,,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,Deportivo Pereira,away,
Santiago Aguilar,santiago-aguilar,S. Aguilar,D,15,188.0,12,1478346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,901756800.0,"{'value': 215000, 'currency': 'EUR'}",,Santiago Aguilar,,15,False,39.0,15.0,11.0,2.0,0.0,,,90.0,46.0,5.7,25.0,"{'original': 5.7, 'alternative': None}",,3.0,2.0,7.0,2.0,1.0,,,3.0,,,,,1.0,,2.0,,1.0,,1.0,,,,,,Deportivo Pereira,away,
José Moya,jose-moya,J. Moya,D,3,184.0,24,285501,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,713145600.0,"{'value': 410000, 'currency': 'EUR'}",,,,3,False,30.0,23.0,5.0,2.0,0.0,,,90.0,39.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",,2.0,3.0,4.0,4.0,1.0,,,4.0,2.0,1.0,,,,,,,1.0,1.0,,,,,,,Deportivo Pereira,away,
Jeison Suárez,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",,,,26,False,30.0,17.0,5.0,1.0,0.0,,,90.0,59.0,6.7,23.0,"{'original': 6.7, 'alternative': None}",5.0,,1.0,3.0,2.0,,1.0,,1.0,,1.0,,2.0,2.0,1.0,3.0,1.0,2.0,,1.0,,,,,,Deportivo Pereira,away,
Jorge Bermúdez,jorge-bermudez,J. Bermúdez,M,5,166.0,12,1016202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981331200.0,"{'value': 360000, 'currency': 'EUR'}",,,,5,False,40.0,36.0,3.0,2.0,0.0,,,90.0,46.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,,1.0,6.0,3.0,1.0,,,,,1.0,,,,,2.0,,2.0,3.0,,,,1.0,,,Deportivo Pereira,away,
Kelvin Osorio,kelvin-osorio,K. Osorio,M,33,181.0,29,818997,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,751852800.0,"{'value': 465000, 'currency': 'EUR'}",,,,33,False,42.0,30.0,5.0,2.0,0.0,,,89.0,47.0,7.4,12.0,"{'original': 7.4, 'alternative': None}",1.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,2.0,,,,,,,,Deportivo Pereira,away,
Jhon Largacha,jhon-largacha,J. Largacha,M,11,167.0,59,1478310,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074729600.0,"{'value': 185000, 'currency': 'EUR'}",,Jhon Largacha,,11,False,14.0,9.0,1.0,,1.0,,,84.0,27.0,6.5,12.0,"{'original': 6.5, 'alternative': None}",5.0,1.0,1.0,1.0,2.0,,,,,,,,,1.0,1.0,,2.0,1.0,,,,,1.0,1.0,,Deportivo Pereira,away,
Darwin Quintero,darwin-quintero,D. Quintero,F,7,166.0,706,787564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,559008000.0,"{'value': 90000, 'currency': 'EUR'}",,,,7,False,39.0,31.0,2.0,1.0,1.0,,,90.0,52.0,8.5,12.0,"{'original': 8.5, 'alternative': None}",,1.0,2.0,4.0,5.0,,2.0,1.0,,,,,1.0,,2.0,1.0,,3.0,1.0,3.0,2.0,,1.0,1.0,True,Deportivo Pereira,away,
Yuber Quiñones,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",,Yuber Quiñones,,13,False,14.0,11.0,1.0,1.0,0.0,,,90.0,24.0,7.0,8.0,"{'original': 7, 'alternative': None}",3.0,2.0,,5.0,1.0,1.0,2.0,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,Deportivo Pereira,away,
Samy Jr Merheg,merheg-samy-jr,S. J. Merheg,F,38,186.0,98,1653094,"{'alpha2': 'LB', 'alpha3': 'LBN', 'name': 'Lebanon', 'slug': 'lebanon'}",EUR,1170288000.0,,,,,38,False,13.0,10.0,,,0.0,,,90.0,22.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",,3.0,4.0,6.0,4.0,,,,,,,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,Deportivo Pereira,away,1.0
Eber Moreno,eber-moreno,E. Moreno,D,16,179.0,34,1173350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200.0,"{'value': 290000, 'currency': 'EUR'}",,Eber Moreno,,16,True,7.0,6.0,,,0.0,,,16.0,16.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,1.0,,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,Deportivo Pereira,away,
Gianfranco Peña,gianfranco-pena,G. Peña,F,9,190.0,35,1174786,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963273600.0,"{'value': 195000, 'currency': 'EUR'}",,Gianfranco Peña,,9,True,,,,,0.0,,,10.0,,6.3,,"{'original': 6.3, 'alternative': None}",,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,Deportivo Pereira,away,
Felipe Mosquera,felipe-mosquera,F. Mosquera,F,77,174.0,24,1173951,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023235200.0,"{'value': 240000, 'currency': 'EUR'}",,Felipe Mosquera,,77,True,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,,Franklin Mosquera,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,
Julián Bazán,julian-bazan,J. Bazán,D,34,183.0,66,1485232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1132876800.0,"{'value': 240000, 'currency': 'EUR'}",,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,
Ederson Moreno,ederson-moreno,E. Moreno,M,29,174.0,10,941675,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758851200.0,"{'value': 185000, 'currency': 'EUR'}",,,,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,
Sebastián Acosta,sebastian-acosta,S. Acosta,M,8,180.0,23,1100065,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,783648000.0,"{'value': 210000, 'currency': 'EUR'}",,,,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,
