name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,aerialWon,shotOffTarget,outfielderBlock,interceptionWon,challengeLost,totalTackle,totalContest,wonContest,fouls,accurateCross,onTargetScoringAttempt,keyPass,bigChanceCreated,blockedScoringAttempt,goals,dispossessed,captain,team,teamType,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,totalOffside
Geovanni Banguera,geovanni-banguera,G. Banguera,G,12,187.0,22,823233,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,818985600.0,"{'value': 385000, 'currency': 'EUR'}",,,12,False,28.0,13.0,22.0,7.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,90.0,38.0,7.1,15.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Dylan Lozano,dylan-lozano,D. Lozano,D,26,,9,1139988,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026691200.0,"{'value': 270000, 'currency': 'EUR'}",Dylan Lozano,,26,False,7.0,6.0,,,0.0,,1.0,,,,,36.0,19.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,D,2,185.0,11,931697,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975801600.0,"{'value': 245000, 'currency': 'EUR'}",,,2,False,29.0,24.0,10.0,5.0,0.0,1.0,4.0,,,,,90.0,40.0,7.4,5.0,"{'original': 7.4, 'alternative': None}",,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Diego Hernández,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400.0,"{'value': 370000, 'currency': 'EUR'}",,,5,False,40.0,33.0,11.0,9.0,0.0,2.0,2.0,1.0,,,,90.0,52.0,7.7,8.0,"{'original': 7.7, 'alternative': None}",,,1.0,,,2.0,4.0,1.0,1.0,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Javier Alexander Mena,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000.0,,,,32,False,21.0,16.0,5.0,2.0,0.0,4.0,2.0,3.0,,,,90.0,36.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",1.0,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Harrinson Mancilla,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000.0,"{'value': 49000, 'currency': 'EUR'}",,,27,False,23.0,16.0,4.0,,0.0,6.0,1.0,2.0,,,,90.0,36.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,4.0,1.0,,1.0,3.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Guillermo Celis,guillermo-celis,G. Celis,M,28,177.0,89,329583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736819200.0,"{'value': 470000, 'currency': 'EUR'}",,,28,False,22.0,22.0,6.0,6.0,0.0,,1.0,,,,,90.0,23.0,6.6,,"{'original': 6.6, 'alternative': None}",,1.0,5.0,,,,,1.0,,,,3.0,,,,,,,,True,Rionegro Águilas Doradas,home,,,,
Fredy Salazar,fredy-salazar,F. Salazar,F,20,178.0,87,822092,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796694400.0,"{'value': 855000, 'currency': 'EUR'}",,,20,False,33.0,29.0,4.0,2.0,0.0,3.0,1.0,2.0,,,,90.0,59.0,7.4,17.0,"{'original': 7.4, 'alternative': None}",13.0,,6.0,,1.0,,,3.0,1.0,3.0,,,4.0,2.0,3.0,,,,,,Rionegro Águilas Doradas,home,,,,
Yony González,yony-gonzalez,Y. González,F,11,182.0,356,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800.0,"{'value': 545000, 'currency': 'EUR'}",,,11,False,27.0,19.0,,,1.0,9.0,,4.0,,,,88.0,41.0,8.3,10.0,"{'original': 8.3, 'alternative': None}",1.0,1.0,3.0,4.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,3.0,2.0,1.0,,,,,Rionegro Águilas Doradas,home,,,,
Johan Caballero,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400.0,"{'value': 340000, 'currency': 'EUR'}",,,23,False,21.0,18.0,4.0,3.0,0.0,6.0,1.0,2.0,,,,79.0,37.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",2.0,1.0,5.0,1.0,,,1.0,2.0,2.0,2.0,1.0,1.0,,,2.0,,,,,,Rionegro Águilas Doradas,home,,,,
