name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,challengeLost,outfielderBlock,totalTackle,wasFouled,keyPass,aerialLost,totalContest,fouls,aerialWon,shotOffTarget,interceptionWon,dispossessed,onTargetScoringAttempt,totalOffside,wonContest,ownGoals,captain,team,teamType,fieldTranslations,bigChanceCreated,blockedScoringAttempt,hitWoodwork,goals,bigChanceMissed
Eduar Beltrán,Eduar Esteban,Beltrán Restrepo,eduar-esteban,E. Beltrán,G,1,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800.0,"{'value': 185000, 'currency': 'EUR'}",,1,False,29.0,18.0,18.0,7.0,0.0,1.0,4.0,6.0,1.0,90.0,36.0,7.3,11.0,"{'original': 7.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,,,
David Murillo,,,david-murillo,D. Murillo,D,4,14,805277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 97000, 'currency': 'EUR'}",178.0,4,False,26.0,21.0,5.0,3.0,0.0,1.0,,,,90.0,40.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,Unión Magdalena,home,,,,,,
Óscar Vanegas,,,oscar-vanegas,Ó. Vanegas,D,33,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200.0,"{'value': 290000, 'currency': 'EUR'}",185.0,33,False,20.0,16.0,5.0,1.0,0.0,2.0,,,,90.0,25.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",,,3.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,Unión Magdalena,home,,,,,,
Martín Payares,,,martin-payares,M. Payares,D,5,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400.0,"{'value': 410000, 'currency': 'EUR'}",183.0,5,False,33.0,24.0,12.0,5.0,0.0,7.0,,,,90.0,50.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,,3.0,4.0,1.0,1.0,2.0,,,1.0,,1.0,2.0,1.0,2.0,,,,,,,Unión Magdalena,home,,,,,,
Dairon Mosquera,,,dairon-mosquera,D. Mosquera,D,30,31,834223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709257600.0,"{'value': 245000, 'currency': 'EUR'}",182.0,30,False,30.0,23.0,5.0,2.0,0.0,5.0,,,,90.0,52.0,7.0,11.0,"{'original': 7, 'alternative': None}",,,2.0,6.0,1.0,,2.0,1.0,1.0,,,,3.0,2.0,1.0,1.0,,,,,,Unión Magdalena,home,,,,,,
Juan José Tello,Juan José Tello,,juan-jose-tello,J. J. Tello,D,26,11,1108713,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021593600.0,,,26,False,12.0,10.0,,,0.0,,,,,63.0,16.0,7.0,2.0,"{'original': 7, 'alternative': None}",,,2.0,1.0,,,,,1.0,2.0,,,1.0,2.0,2.0,,,,,,,Unión Magdalena,home,,,,,,
Fabián Cantillo,,,fabian-cantillo,F. Cantillo,M,24,9,974035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400.0,"{'value': 390000, 'currency': 'EUR'}",184.0,24,False,44.0,40.0,3.0,1.0,0.0,,,,,90.0,48.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,6.0,,,,,,2.0,1.0,,5.0,,,1.0,,,,,,True,Unión Magdalena,home,,,,,,
Juan Diego Giraldo,,,juan-diego-giraldo,J. D. Giraldo,M,20,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800.0,"{'value': 185000, 'currency': 'EUR'}",179.0,20,False,24.0,20.0,1.0,1.0,0.0,1.0,,,,63.0,29.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,,3.0,1.0,,,1.0,,,,1.0,2.0,,,,,,,,,,Unión Magdalena,home,,,,,,
Valentin Sanchez,Valentin Sanchez,,valentin-sanchez,V. Sanchez,M,8,4,1390760,{},EUR,1012867200.0,,,8,False,11.0,11.0,,,0.0,,,,,45.0,24.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",3.0,,4.0,1.0,,,,1.0,2.0,,1.0,2.0,,,2.0,1.0,,,,,,Unión Magdalena,home,,,,,,
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,"{'value': 480000, 'currency': 'EUR'}",179.0,10,False,27.0,21.0,4.0,3.0,0.0,,,,,90.0,46.0,7.2,16.0,"{'original': 7.2, 'alternative': None}",8.0,2.0,5.0,1.0,,,,1.0,3.0,1.0,2.0,1.0,,4.0,,1.0,1.0,1.0,,,,Unión Magdalena,home,,,,,,
Ricardo Márquez,,,ricardo-marquez,R. Márquez,F,21,117,974046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 245000, 'currency': 'EUR'}",187.0,21,False,13.0,9.0,2.0,1.0,0.0,,,,,74.0,30.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",1.0,,6.0,7.0,1.0,,2.0,2.0,,1.0,4.0,2.0,1.0,,1.0,,1.0,,2.0,1.0,,Unión Magdalena,home,,,,,,
Óscar Barreto,,,oscar-barreto,Ó. Barreto,M,22,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 245000, 'currency': 'EUR'}",173.0,22,True,11.0,9.0,5.0,5.0,0.0,,,,,41.0,13.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,Unión Magdalena,home,,,,,,
Freddy Molina,,,molina-freddy,F. Molina,D,18,5,1512008,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,,,,18,True,8.0,7.0,1.0,1.0,0.0,,,,,27.0,10.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,1.0,,,,,,,,,,,,,Unión Magdalena,home,,,,,,
Janeth Aleman,,,janeth-aleman,J. Aleman,F,7,5,1901225,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1022198400.0,,,7,True,7.0,5.0,,,0.0,,,,,27.0,10.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",1.0,,,3.0,,,,1.0,1.0,,,,2.0,1.0,,,,,,,,Unión Magdalena,home,,,,,,
