name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,duelWon,challengeLost,totalContest,wonContest,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,shotOffTarget,hitWoodwork,totalClearance,interceptionWon,fouls,keyPass,aerialWon,totalTackle,outfielderBlock,aerialLost,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,goals,penaltyWon,captain,team,teamType,fieldTranslations,penaltyConceded,totalOffside
Eduar Beltrán,Eduar Esteban,Beltrán Restrepo,eduar-esteban,E. Beltrán,G,1,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800.0,"{'value': 185000, 'currency': 'EUR'}",,1,False,18.0,16.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,90.0,30.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,
David Murillo,,,david-murillo,D. Murillo,D,4,14,805277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 97000, 'currency': 'EUR'}",178.0,4,False,19.0,18.0,2.0,2.0,0.0,2.0,1.0,,,,1.0,,,78.0,39.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,Unión Magdalena,home,,,
Óscar Vanegas,,,oscar-vanegas,Ó. Vanegas,D,33,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200.0,"{'value': 290000, 'currency': 'EUR'}",185.0,33,False,35.0,26.0,11.0,6.0,0.0,1.0,3.0,,,,,,,90.0,43.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",,,,1.0,4.0,,1.0,,2.0,1.0,,,,,,,,,Unión Magdalena,home,,,
Martín Payares,,,martin-payares,M. Payares,D,5,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400.0,"{'value': 410000, 'currency': 'EUR'}",183.0,5,False,27.0,24.0,4.0,2.0,0.0,1.0,3.0,,,,,,,90.0,39.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,,,,6.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,Unión Magdalena,home,,,
Dilan Ortiz,Dilan Ortiz,,dilan-ortiz,D. Ortiz,D,6,5,1388142,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1055548800.0,,,6,False,15.0,10.0,5.0,,0.0,4.0,,,1.0,,,,,51.0,25.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",1.0,,,,1.0,,3.0,,,,1.0,,,,,,,,Unión Magdalena,home,,,
Ruyery Blanco,,,ruyery-blanco,R. Blanco,F,17,31,974049,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912988800.0,"{'value': 230000, 'currency': 'EUR'}",180.0,17,False,19.0,13.0,1.0,,0.0,6.0,5.0,,1.0,,2.0,,,78.0,39.0,6.9,16.0,"{'original': 6.9, 'alternative': None}",2.0,,2.0,,,,1.0,1.0,2.0,1.0,,1.0,3.0,1.0,1.0,,,,Unión Magdalena,home,,,
José Mercado,José Mercado,,jose-mercado,J. Mercado,M,28,21,1201151,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1061424000.0,"{'value': 165000, 'currency': 'EUR'}",,28,False,52.0,45.0,5.0,4.0,0.0,8.0,8.0,1.0,4.0,4.0,1.0,,,90.0,67.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",,,,,,2.0,7.0,,1.0,2.0,,,,,,,,,Unión Magdalena,home,,,
Juan Diego Giraldo,,,juan-diego-giraldo,J. D. Giraldo,M,20,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800.0,"{'value': 185000, 'currency': 'EUR'}",179.0,20,False,52.0,44.0,5.0,2.0,0.0,4.0,5.0,,1.0,,1.0,,,89.0,66.0,6.9,14.0,"{'original': 6.9, 'alternative': None}",2.0,,,,,2.0,1.0,,1.0,3.0,,1.0,1.0,,,,,,Unión Magdalena,home,,,
Juan José Tello,Juan José Tello,,juan-jose-tello,J. J. Tello,D,26,11,1108713,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021593600.0,,,26,False,23.0,19.0,5.0,3.0,0.0,3.0,4.0,,2.0,,1.0,,,90.0,50.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",5.0,,,,,,1.0,,,3.0,,,,,,,,,Unión Magdalena,home,,,
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,"{'value': 480000, 'currency': 'EUR'}",179.0,10,False,32.0,26.0,2.0,1.0,0.0,1.0,2.0,,,,1.0,,,90.0,47.0,7.5,13.0,"{'original': 7.5, 'alternative': None}",9.0,2.0,2.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,True,Unión Magdalena,home,,,
Ricardo Márquez,,,ricardo-marquez,R. Márquez,F,21,117,974046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 245000, 'currency': 'EUR'}",187.0,21,False,15.0,10.0,1.0,,0.0,5.0,5.0,,1.0,,3.0,,,78.0,29.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,,,,Unión Magdalena,home,,,
Valentin Sanchez,Valentin Sanchez,,valentin-sanchez,V. Sanchez,M,8,4,1390760,{},EUR,1012867200.0,,,8,True,21.0,16.0,1.0,1.0,0.0,2.0,4.0,,2.0,1.0,1.0,,,39.0,32.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",2.0,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,Unión Magdalena,home,,,
Janeth Aleman,,,janeth-aleman,J. Aleman,F,7,5,1901225,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1022198400.0,,,7,True,3.0,1.0,1.0,,0.0,1.0,,,,,,,,12.0,9.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",2.0,,,,1.0,,,,,,,1.0,,,,,,,Unión Magdalena,home,,,
Orles Aragón,,,orles-aragon,O. Aragón,F,11,6,930209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866246400.0,"{'value': 190000, 'currency': 'EUR'}",180.0,11,True,1.0,1.0,,,0.0,2.0,,1.0,,,,,,12.0,4.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,1.0,,,,,,,,,1.0,,1.0,,,,,Unión Magdalena,home,,,
Kleber Díaz,Kleber Díaz,,kleber-diaz,K. Díaz,F,19,3,2040668,{},EUR,1073952000.0,,,9,True,6.0,4.0,,,0.0,2.0,,,1.0,,,,,12.0,11.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,,,,,1.0,,,,,,1.0,,,,,,,Unión Magdalena,home,,,
Óscar Barreto,,,oscar-barreto,Ó. Barreto,M,22,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 245000, 'currency': 'EUR'}",173.0,22,True,3.0,2.0,1.0,,0.0,1.0,2.0,,1.0,,1.0,,,20.0,9.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",2.0,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,Unión Magdalena,home,,,
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000.0,"{'value': 105000, 'currency': 'EUR'}",187.0,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,
Freddy Molina,,,molina-freddy,F. Molina,D,18,5,1512008,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,,,,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,
Aldair Quintana,,,aldair-quintana,A. Quintana,G,1,154,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800.0,"{'value': 930000, 'currency': 'EUR'}",194.0,1,False,21.0,14.0,14.0,7.0,0.0,,,,,,,1.0,2.0,90.0,28.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Santiago Jiménez,,,santiago-jimenez,S. Jiménez,D,6,37,830070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,888710400.0,"{'value': 440000, 'currency': 'EUR'}",180.0,6,False,33.0,25.0,4.0,1.0,0.0,3.0,6.0,,1.0,1.0,1.0,,,90.0,60.0,7.2,16.0,"{'original': 7.2, 'alternative': None}",4.0,1.0,1.0,,5.0,2.0,2.0,1.0,1.0,3.0,,1.0,,,1.0,,,,Atlético Bucaramanga,away,,1.0,
Cristián Zapata,,,cristian-zapata,C. Zapata,D,25,593,12673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,528422400.0,"{'value': 54000, 'currency': 'EUR'}",187.0,25,False,27.0,18.0,8.0,2.0,0.0,,2.0,,,,1.0,,,90.0,42.0,7.0,9.0,"{'original': 7, 'alternative': None}",,,,,9.0,,,,1.0,,3.0,,,,,,,,Atlético Bucaramanga,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. زاباتا', 'hi': 'सी. ज़ापाटा', 'bn': 'সি. জাপাটা'}}",,
Jefferson Mena,,,jefferson-mena,J. Mena,D,2,66,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000.0,"{'value': 97000, 'currency': 'EUR'}",183.0,2,False,29.0,23.0,6.0,4.0,0.0,5.0,7.0,,1.0,,,,,90.0,48.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,,,,12.0,1.0,3.0,,4.0,3.0,1.0,1.0,,,,,,True,Atlético Bucaramanga,away,,,
