name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,challengeLost,dispossessed,totalContest,shotOffTarget,blockedScoringAttempt,fouls,possessionLostCtrl,keyPass,aerialLost,outfielderBlock,interceptionWon,totalTackle,wonContest,onTargetScoringAttempt,goals,totalOffside,captain,team,teamType,hitWoodwork
David Ospina,,,david-ospina,D. Ospina,G,1,183.0,5709,33596,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800.0,"{'value': 655000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. أوسبينا', 'hi': 'डी. ओस्पिना', 'bn': 'ডি. ওসপিনা'}}",1,False,31.0,31.0,4.0,4.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,90.0,39.0,7.3,"{'original': 7.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,True,Atlético Nacional,home,
Joan Castro,,,joan-castro,J. Castro,D,20,176.0,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600.0,"{'value': 680000, 'currency': 'EUR'}",,20,False,34.0,28.0,,,1.0,3.0,3.0,,,,,,90.0,60.0,6.9,"{'original': 6.9, 'alternative': None}",6.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,14.0,1.0,,,,,,,,,,Atlético Nacional,home,
Juan Arias,,,arias-juan,J. Arias,D,23,184.0,73,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000.0,,,23,False,26.0,24.0,2.0,2.0,0.0,3.0,3.0,1.0,,,,,45.0,35.0,7.0,"{'original': 7, 'alternative': None}",,,,2.0,,,,,,1.0,2.0,,1.0,1.0,1.0,2.0,,,,,,Atlético Nacional,home,
William Tesillo,,,william-tesillo,W. Tesillo,D,16,184.0,317,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800.0,"{'value': 520000, 'currency': 'EUR'}",,16,False,82.0,73.0,7.0,6.0,0.0,5.0,2.0,2.0,,,,,90.0,95.0,7.7,"{'original': 7.7, 'alternative': None}",1.0,,,3.0,,,1.0,,,2.0,11.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,,Atlético Nacional,home,
Andrés Salazar,Andrés Salazar,,andres-salazar,A. Salazar,D,17,182.0,251,1174790,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042588800.0,"{'value': 580000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. سالازار', 'hi': 'ए. सालाज़ार', 'bn': 'এ. সালাজার'}}",17,False,27.0,23.0,2.0,2.0,0.0,4.0,3.0,1.0,,,,,72.0,45.0,7.0,"{'original': 7, 'alternative': None}",1.0,,1.0,2.0,1.0,,,1.0,,,5.0,,1.0,,1.0,2.0,,,,,,Atlético Nacional,home,
Jorman Campuzano,,,jorman-campuzano,J. Campuzano,M,21,175.0,706,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400.0,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",21,False,93.0,86.0,5.0,4.0,0.0,6.0,,1.0,,,,,90.0,104.0,7.5,"{'original': 7.5, 'alternative': None}",1.0,1.0,,4.0,1.0,,1.0,,,3.0,9.0,2.0,,,1.0,4.0,1.0,,,,,Atlético Nacional,home,
Marino Hinestroza,,,marino-hinestroza,M. Hinestroza,M,18,170.0,3082,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400.0,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",18,False,11.0,9.0,,,0.0,1.0,,1.0,,,,,45.0,19.0,6.5,"{'original': 6.5, 'alternative': None}",2.0,,,2.0,,1.0,1.0,,,,7.0,,,,,,,,,,,Atlético Nacional,home,
Edwin Cardona,,,edwin-cardona,E. Cardona,M,10,183.0,2260,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800.0,"{'value': 960000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",10,False,37.0,29.0,2.0,1.0,0.0,1.0,,1.0,,,,,45.0,43.0,6.9,"{'original': 6.9, 'alternative': None}",2.0,1.0,,1.0,,,,,,1.0,11.0,2.0,,,,,,,,,,Atlético Nacional,home,
Billy Arce,,,billy-arce,B. Arce,M,11,177.0,503,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600.0,"{'value': 680000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",11,False,42.0,33.0,3.0,,0.0,4.0,,2.0,,,,,66.0,56.0,6.7,"{'original': 6.7, 'alternative': None}",4.0,,1.0,4.0,1.0,2.0,,1.0,1.0,2.0,18.0,2.0,,,,1.0,,,,,,Atlético Nacional,home,
Dairon Asprilla,,,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000.0,"{'value': 720000, 'currency': 'EUR'}",,27,False,24.0,18.0,,,0.0,4.0,,1.0,,,,,90.0,42.0,8.0,"{'original': 8, 'alternative': None}",3.0,2.0,2.0,4.0,,1.0,2.0,2.0,,2.0,12.0,,,,1.0,,1.0,4.0,1.0,,,Atlético Nacional,home,
