name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalContest,wonContest,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,interceptionWon,totalTackle,fouls,dispossessed,outfielderBlock,onTargetScoringAttempt,goals,shotOffTarget,blockedScoringAttempt,accurateCross,keyPass,challengeLost,totalOffside,penaltyConceded,captain,team,teamType,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,penaltyWon
Eduar Beltrán,Eduar Esteban,Beltrán Restrepo,eduar-esteban,E. Beltrán,G,1,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800,"{'value': 185000, 'currency': 'EUR'}",,1,False,36.0,33.0,14.0,11.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,90.0,42.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Daniel Mera,Daniel Mera,,daniel-mera,D. Mera,D,3,7,1470050,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945734400,"{'value': 245000, 'currency': 'EUR'}",183.0,3,False,41.0,30.0,3.0,1.0,0.0,9.0,2.0,2.0,1.0,,,,90.0,69.0,7.1,20.0,"{'original': 7.1, 'alternative': None}",4.0,1.0,3.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,Unión Magdalena,home,,,,
Rafael Pérez,,,rafael-perez,R. Pérez,D,2,86,355846,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,631843200,"{'value': 375000, 'currency': 'EUR'}",186.0,2,False,45.0,32.0,9.0,1.0,0.0,4.0,,,3.0,1.0,,,90.0,55.0,6.4,16.0,"{'original': 6.4, 'alternative': None}",1.0,2.0,3.0,3.0,,,1.0,1.0,1.0,,,,,,,,,,,Unión Magdalena,home,,,,
Martín Payares,,,martin-payares,M. Payares,D,5,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400,"{'value': 410000, 'currency': 'EUR'}",183.0,5,False,64.0,54.0,9.0,5.0,0.0,6.0,,,3.0,1.0,,,90.0,76.0,7.7,13.0,"{'original': 7.7, 'alternative': None}",,1.0,4.0,5.0,,1.0,4.0,,2.0,1.0,1.0,,,,,,,,,Unión Magdalena,home,,,,
Dairon Mosquera,,,dairon-mosquera,D. Mosquera,D,30,31,834223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709257600,"{'value': 245000, 'currency': 'EUR'}",182.0,30,False,35.0,33.0,3.0,2.0,0.0,3.0,1.0,1.0,4.0,1.0,,,90.0,61.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",1.0,,,5.0,,1.0,3.0,2.0,,,,1.0,1.0,,,,,,,Unión Magdalena,home,,,,
Óscar Barreto,,,oscar-barreto,Ó. Barreto,M,22,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200,"{'value': 245000, 'currency': 'EUR'}",173.0,22,False,33.0,27.0,4.0,2.0,0.0,3.0,,,,1.0,,,67.0,47.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",6.0,,1.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,Unión Magdalena,home,,,,
José Mercado,José Mercado,,jose-mercado,J. Mercado,M,28,21,1201151,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1061424000,"{'value': 165000, 'currency': 'EUR'}",,28,False,31.0,29.0,3.0,1.0,0.0,3.0,,,3.0,1.0,,,45.0,41.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,2.0,4.0,1.0,,2.0,,,,,,,,,1.0,,,,Unión Magdalena,home,,,,
Fabián Cantillo,,,fabian-cantillo,F. Cantillo,M,24,9,974035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 390000, 'currency': 'EUR'}",184.0,24,False,44.0,33.0,3.0,1.0,0.0,3.0,1.0,,1.0,1.0,,,90.0,53.0,6.6,15.0,"{'original': 6.6, 'alternative': None}",2.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,True,Unión Magdalena,home,,,,
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,"{'value': 480000, 'currency': 'EUR'}",179.0,10,False,34.0,30.0,,,1.0,5.0,2.0,1.0,,1.0,,,90.0,52.0,7.9,8.0,"{'original': 7.9, 'alternative': None}",6.0,2.0,1.0,3.0,,2.0,,,,,,1.0,,5.0,5.0,,,,,Unión Magdalena,home,,,,
Ricardo Márquez,,,ricardo-marquez,R. Márquez,F,21,117,974046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600,"{'value': 245000, 'currency': 'EUR'}",187.0,21,False,18.0,12.0,,,0.0,3.0,3.0,2.0,,1.0,,,67.0,31.0,7.0,12.0,"{'original': 7, 'alternative': None}",2.0,2.0,,4.0,,,,1.0,,2.0,,1.0,,,,,1.0,,,Unión Magdalena,home,,,,
