name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalClearance,totalTackle,wasFouled,keyPass,bigChanceCreated,shotOffTarget,interceptionWon,fouls,dispossessed,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,goals,challengeLost,bigChanceMissed,penaltyMiss,penaltyWon,totalOffside,captain,team,teamType,fieldTranslations,penaltySave,punches,outfielderBlock,penaltyConceded
Eduar Beltrán,Eduar Esteban,Beltrán Restrepo,eduar-esteban,E. Beltrán,G,1,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800.0,"{'value': 185000, 'currency': 'EUR'}",,1,False,11.0,5.0,9.0,3.0,0.0,3.0,3.0,90.0,20.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,,
Daniel Mera,Daniel Mera,,daniel-mera,D. Mera,D,3,7,1470050,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945734400.0,"{'value': 245000, 'currency': 'EUR'}",183.0,3,False,18.0,14.0,7.0,4.0,0.0,,,90.0,42.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",4.0,1.0,1.0,1.0,1.0,4.0,6.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,,
Darwin Palomeque,Darwin Palomeque,,darwin-palomeque,D. Palomeque,D,18,7,1470051,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736214400.0,"{'value': 195000, 'currency': 'EUR'}",183.0,18,False,10.0,7.0,1.0,,0.0,,,90.0,22.0,7.0,4.0,"{'original': 7, 'alternative': None}",,,3.0,3.0,5.0,6.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,Unión Magdalena,home,,,,,
Martín Payares,,,martin-payares,M. Payares,D,5,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400.0,"{'value': 410000, 'currency': 'EUR'}",183.0,5,False,18.0,7.0,9.0,1.0,0.0,,,90.0,25.0,6.4,11.0,"{'original': 6.4, 'alternative': None}",,,4.0,4.0,4.0,5.0,4.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,Unión Magdalena,home,,,,,
Dairon Mosquera,,,dairon-mosquera,D. Mosquera,D,30,31,834223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709257600.0,"{'value': 245000, 'currency': 'EUR'}",182.0,30,False,15.0,8.0,6.0,3.0,0.0,,,90.0,43.0,7.2,16.0,"{'original': 7.2, 'alternative': None}",2.0,2.0,,2.0,2.0,7.0,5.0,3.0,2.0,2.0,,,1.0,2.0,,,,,,,,,,,,,Unión Magdalena,home,,,,,
Óscar Barreto,,,oscar-barreto,Ó. Barreto,M,22,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 245000, 'currency': 'EUR'}",173.0,23,False,32.0,27.0,2.0,2.0,0.0,,,83.0,47.0,7.5,11.0,"{'original': 7.5, 'alternative': None}",1.0,1.0,,2.0,6.0,4.0,,1.0,,1.0,,2.0,,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,Unión Magdalena,home,,,,,
Fabián Cantillo,,,fabian-cantillo,F. Cantillo,M,24,9,974035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400.0,"{'value': 390000, 'currency': 'EUR'}",184.0,24,False,32.0,25.0,5.0,1.0,1.0,,,90.0,40.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",,,,1.0,2.0,4.0,1.0,2.0,,1.0,,,1.0,,,1.0,1.0,,,,2.0,,,,,True,Unión Magdalena,home,,,,,
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,"{'value': 480000, 'currency': 'EUR'}",179.0,10,False,21.0,15.0,3.0,,0.0,,,83.0,37.0,6.3,13.0,"{'original': 6.3, 'alternative': None}",6.0,1.0,,,2.0,1.0,,,,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,3.0,,,1.0,1.0,,,,Unión Magdalena,home,,,,,
Valentin Sanchez,Valentin Sanchez,,valentin-sanchez,V. Sanchez,M,8,4,1390760,{},EUR,1012867200.0,,,8,False,19.0,13.0,1.0,,0.0,,,74.0,26.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,,,5.0,,1.0,,,3.0,,1.0,,4.0,,1.0,,1.0,2.0,,,,,,,,Unión Magdalena,home,,,,,
Eric Krame,,,eric-krame,E. Krame,F,7,23,1472384,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,921456000.0,,,7,False,14.0,11.0,2.0,2.0,0.0,,,45.0,26.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",3.0,1.0,,1.0,2.0,3.0,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,Unión Magdalena,home,,,,,
Ruyery Blanco,,,ruyery-blanco,R. Blanco,F,17,31,974049,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912988800.0,"{'value': 230000, 'currency': 'EUR'}",180.0,17,False,13.0,8.0,,,0.0,,,74.0,26.0,7.4,10.0,"{'original': 7.4, 'alternative': None}",,,1.0,1.0,3.0,3.0,,,2.0,1.0,,4.0,,2.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,Unión Magdalena,home,,,,,
Cristian Sención,,,cristian-sencion,C. Sención,M,16,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200.0,"{'value': 290000, 'currency': 'EUR'}",179.0,16,True,15.0,8.0,2.0,,0.0,,,45.0,28.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,1.0,1.0,5.0,1.0,2.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,Unión Magdalena,home,,,,,
Jhoan Pinto,,,jhoan-pinto,J. Pinto,M,14,5,1831290,{},EUR,,,,14,True,2.0,1.0,1.0,,0.0,,,16.0,8.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,,,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,,
Ricardo Márquez,,,ricardo-marquez,R. Márquez,F,21,117,974046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 245000, 'currency': 'EUR'}",187.0,21,True,3.0,3.0,,,0.0,,,16.0,5.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,2.0,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,2.0,,Unión Magdalena,home,,,,,
Juan Diego Giraldo,,,juan-diego-giraldo,J. D. Giraldo,M,20,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800.0,"{'value': 185000, 'currency': 'EUR'}",179.0,20,True,1.0,,1.0,,0.0,,,13.0,2.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,Unión Magdalena,home,,,,,
Janeth Aleman,,,janeth-aleman,J. Aleman,F,7,5,1901225,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1022198400.0,,,13,True,,,,,0.0,,,13.0,,6.3,,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,,
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000.0,"{'value': 105000, 'currency': 'EUR'}",187.0,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,,
Jefrey Trujillo,Jefrey Trujillo,,jefrey-trujillo,J. Trujillo,D,27,4,1201145,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1036368000.0,,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,,
Alejandro Rodríguez,Alejandro Rodríguez,,alejandro-rodriguez,A. Rodríguez,G,38,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600.0,"{'value': 825000, 'currency': 'EUR'}",188.0,38,False,29.0,13.0,16.0,1.0,0.0,1.0,2.0,90.0,34.0,6.7,16.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",1.0,1.0,,
Fabián Viáfara,,,fabian-viafara,F. Viáfara,D,27,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000.0,"{'value': 430000, 'currency': 'EUR'}",167.0,27,False,27.0,18.0,9.0,5.0,0.0,,,90.0,47.0,6.4,12.0,"{'original': 6.4, 'alternative': None}",2.0,1.0,,,3.0,,5.0,,,1.0,,,3.0,2.0,,1.0,,,,,,,,,,,Deportivo Cali,away,,,,,
