name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,totalContest,onTargetScoringAttempt,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,wonContest,shotOffTarget,challengeLost,interceptionWon,dispossessed,blockedScoringAttempt,totalOffside,hitWoodwork,captain,team,teamType,fieldTranslations,totalKeeperSweeper,accurateKeeperSweeper
Eduar Beltrán,Eduar Esteban,Beltrán Restrepo,eduar-esteban,E. Beltrán,G,1,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800.0,"{'value': 185000, 'currency': 'EUR'}",,1,False,15.0,14.0,4.0,3.0,0.0,1.0,1.0,2.0,2.0,3.0,90.0,22.0,7.4,1.0,"{'original': 7.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,
Daniel Mera,Daniel Mera,,daniel-mera,D. Mera,D,3,7,1470050,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945734400.0,"{'value': 245000, 'currency': 'EUR'}",183.0,3,False,38.0,33.0,4.0,1.0,0.0,,5.0,1.0,,,90.0,65.0,7.9,13.0,"{'original': 7.9, 'alternative': None}",8.0,3.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,,,,,,,,,,Unión Magdalena,home,,,
Óscar Vanegas,,,oscar-vanegas,Ó. Vanegas,D,33,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200.0,"{'value': 290000, 'currency': 'EUR'}",185.0,33,False,35.0,31.0,6.0,3.0,0.0,1.0,4.0,4.0,,,90.0,53.0,7.5,5.0,"{'original': 7.5, 'alternative': None}",,,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,2.0,,,,,,,,Unión Magdalena,home,,,
Martín Payares,,,martin-payares,M. Payares,D,5,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400.0,"{'value': 410000, 'currency': 'EUR'}",183.0,5,False,45.0,39.0,5.0,2.0,0.0,4.0,6.0,2.0,,,90.0,55.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,,2.0,4.0,,,,2.0,,1.0,,,,1.0,3.0,,,,,,Unión Magdalena,home,,,
Dairon Mosquera,,,dairon-mosquera,D. Mosquera,D,30,31,834223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709257600.0,"{'value': 245000, 'currency': 'EUR'}",182.0,30,False,17.0,11.0,3.0,,0.0,,,1.0,,,45.0,24.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,,,2.0,,,,,,1.0,,,,,1.0,1.0,,,,,Unión Magdalena,home,,,
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,"{'value': 480000, 'currency': 'EUR'}",179.0,10,False,44.0,35.0,6.0,4.0,0.0,,,1.0,,,90.0,67.0,7.6,18.0,"{'original': 7.6, 'alternative': None}",13.0,6.0,2.0,4.0,1.0,1.0,,,,1.0,4.0,,2.0,,,,1.0,,,,Unión Magdalena,home,,,
Fabián Cantillo,,,fabian-cantillo,F. Cantillo,M,24,9,974035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400.0,"{'value': 390000, 'currency': 'EUR'}",184.0,24,False,66.0,54.0,6.0,6.0,0.0,,,2.0,,,90.0,80.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,1.0,5.0,1.0,,1.0,,,1.0,2.0,,1.0,,,2.0,1.0,,,True,Unión Magdalena,home,,,
Juan Diego Giraldo,,,juan-diego-giraldo,J. D. Giraldo,M,20,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800.0,"{'value': 185000, 'currency': 'EUR'}",179.0,21,False,41.0,36.0,2.0,1.0,0.0,,3.0,,,,66.0,50.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,,,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,Unión Magdalena,home,,,
Eric Krame,,,eric-krame,E. Krame,F,7,23,1472384,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,921456000.0,,,15,False,15.0,5.0,1.0,,0.0,1.0,2.0,,,,45.0,29.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",4.0,1.0,2.0,5.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,Unión Magdalena,home,,,
Ruyery Blanco,,,ruyery-blanco,R. Blanco,F,17,31,974049,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912988800.0,"{'value': 230000, 'currency': 'EUR'}",180.0,17,False,12.0,10.0,2.0,2.0,0.0,2.0,5.0,2.0,,,84.0,31.0,8.0,6.0,"{'original': 8, 'alternative': None}",2.0,,2.0,9.0,,3.0,,,3.0,5.0,3.0,,4.0,,,2.0,,1.0,,,Unión Magdalena,home,,,
