name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalContest,wonContest,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,challengeLost,bigChanceCreated,blockedScoringAttempt,totalClearance,totalTackle,wasFouled,fouls,keyPass,aerialWon,interceptionWon,dispossessed,shotOffTarget,totalOffside,onTargetScoringAttempt,goals,captain,team,teamType,goodHighClaim,outfielderBlock
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185.0,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200.0,"{'value': 365000, 'currency': 'EUR'}",,,,30,False,25.0,24.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,5.0,90.0,38.0,7.3,1.0,"{'original': 7.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,
Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170.0,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400.0,"{'value': 485000, 'currency': 'EUR'}",Jhomier Guerrero,,,34,False,39.0,33.0,1.0,1.0,1.0,7.0,2.0,2.0,,,90.0,67.0,7.8,12.0,"{'original': 7.8, 'alternative': None}",5.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,,,,,,,,,Junior Barranquilla,home,,
Howell Mena,howell-mena,H. Mena,D,2,185.0,37,1174858,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,987638400.0,"{'value': 490000, 'currency': 'EUR'}",Howell Mena,,,2,False,66.0,53.0,18.0,9.0,0.0,5.0,,,,,90.0,76.0,7.0,14.0,"{'original': 7, 'alternative': None}",1.0,,2.0,2.0,,,,1.0,2.0,2.0,,,1.0,3.0,,,,,,,Junior Barranquilla,home,,
Daniel Rivera,daniel-rivera,D. Rivera,D,5,184.0,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000.0,"{'value': 775000, 'currency': 'EUR'}",Daniel Rivera,,,5,False,65.0,56.0,10.0,4.0,0.0,4.0,1.0,1.0,,,90.0,77.0,7.0,11.0,"{'original': 7, 'alternative': None}",,,2.0,3.0,,,,3.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,,Junior Barranquilla,home,,
Edwin Herrera,edwin-herrera,E. Herrera,D,3,170.0,69,931354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904694400.0,"{'value': 730000, 'currency': 'EUR'}",,,,3,False,41.0,31.0,6.0,2.0,0.0,6.0,2.0,1.0,,,90.0,72.0,6.9,19.0,"{'original': 6.9, 'alternative': None}",9.0,3.0,,4.0,1.0,,,2.0,4.0,1.0,1.0,1.0,,,1.0,,,,,,Junior Barranquilla,home,,
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169.0,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400.0,"{'value': 410000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",8,False,64.0,54.0,4.0,3.0,0.0,5.0,4.0,1.0,,,90.0,78.0,7.0,17.0,"{'original': 7, 'alternative': None}",2.0,1.0,1.0,6.0,,,,1.0,2.0,2.0,1.0,2.0,,,1.0,,,,,,Junior Barranquilla,home,,
Didier Moreno,didier-moreno,D. Moreno,M,6,177.0,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800.0,"{'value': 520000, 'currency': 'EUR'}",,,,6,False,57.0,49.0,7.0,5.0,0.0,5.0,2.0,,,,75.0,70.0,6.5,12.0,"{'original': 6.5, 'alternative': None}",,,1.0,7.0,,,,1.0,,5.0,2.0,,,3.0,2.0,,1.0,,,,Junior Barranquilla,home,,
José Enamorado,enamorado-jose,J. Enamorado,M,99,167.0,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600.0,"{'value': 1900000, 'currency': 'EUR'}",,,,99,False,14.0,11.0,,,0.0,1.0,3.0,1.0,,,45.0,26.0,6.1,11.0,"{'original': 6.1, 'alternative': None}",3.0,,1.0,7.0,1.0,,,,,,1.0,,,,2.0,,,,,,Junior Barranquilla,home,,
Guillermo Paiva,guillermo-paiva,G. Paiva,F,9,182.0,387,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000.0,"{'value': 850000, 'currency': 'EUR'}",,,,9,False,29.0,27.0,2.0,2.0,0.0,3.0,,,,,59.0,41.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",1.0,1.0,1.0,3.0,,,,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,Junior Barranquilla,home,,
Bryan Castrillón,bryan-castrillon,B. Castrillón,F,88,169.0,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000.0,"{'value': 485000, 'currency': 'EUR'}",,,,88,False,17.0,11.0,1.0,,0.0,3.0,4.0,1.0,,,59.0,30.0,6.4,12.0,"{'original': 6.4, 'alternative': None}",4.0,2.0,,4.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,Junior Barranquilla,home,,
