name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,ratingVersions,totalCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,totalOffside,possessionLostCtrl,totalContest,wonContest,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,aerialLost,blockedScoringAttempt,keyPass,hitWoodwork,accurateCross,captain,team,teamType,ownGoals
Kevin Armesto,Kevin Armesto,kevin-armesto,K. Armesto,G,1,186.0,6,1174799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865209600.0,"{'value': 290000, 'currency': 'EUR'}",,1,False,26.0,26.0,3.0,3.0,0.0,1.0,90.0,35.0,7.0,"{'original': 7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,
Geovan Montes,,geovan-montes,G. Montes,D,31,178.0,6,821735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,823046400.0,"{'value': 285000, 'currency': 'EUR'}",,31,False,58.0,51.0,5.0,1.0,0.0,,90.0,76.0,7.5,"{'original': 7.5, 'alternative': None}",1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,12.0,,,,,,,,,,,,,,Llaneros FC,home,
Óscar Vega,Oscar Vega,oscar-vega,Ó. Vega,D,23,,8,2030749,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,30,False,84.0,71.0,10.0,4.0,0.0,,90.0,91.0,7.2,"{'original': 7.2, 'alternative': None}",,2.0,1.0,6.0,1.0,,,,,1.0,,13.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,Llaneros FC,home,
Jan Ángulo,Jan Ángulo,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200.0,"{'value': 260000, 'currency': 'EUR'}",,20,False,77.0,65.0,12.0,6.0,0.0,,90.0,83.0,7.2,"{'original': 7.2, 'alternative': None}",,1.0,,3.0,,,,,,4.0,,12.0,,,,,2.0,,,,,,,,,Llaneros FC,home,
Juan José Vásquez,Juan José Vásquez,juan-jose-vasquez,J. J. Vásquez,F,99,180.0,4,1133380,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928368000.0,,,99,False,50.0,43.0,5.0,2.0,0.0,,90.0,68.0,7.0,"{'original': 7, 'alternative': None}",1.0,1.0,3.0,4.0,,,,,,2.0,,10.0,,,,,2.0,1.0,3.0,,,,,,,Llaneros FC,home,
Dannovi Quiñonez,,dannovi-quinonez,D. Quiñonez,M,45,176.0,70,1099610,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978652800.0,"{'value': 210000, 'currency': 'EUR'}",,45,False,66.0,58.0,11.0,5.0,0.0,,83.0,75.0,6.9,"{'original': 6.9, 'alternative': None}",,,4.0,1.0,,1.0,,,,1.0,,11.0,1.0,,1.0,3.0,1.0,,1.0,1.0,,,,,,Llaneros FC,home,
Carlos Sierra,,carlos-sierra,C. Sierra,M,14,183.0,60,895805,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,656812800.0,"{'value': 280000, 'currency': 'EUR'}",,14,False,55.0,46.0,6.0,4.0,0.0,,90.0,75.0,7.1,"{'original': 7.1, 'alternative': None}",1.0,,3.0,5.0,,2.0,,,,,,17.0,2.0,1.0,,1.0,3.0,1.0,,,2.0,1.0,,,,Llaneros FC,home,
Roberto Hinojosa,,roberto-hinojosa,R. Hinojosa,M,80,170.0,64,989392,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,930873600.0,"{'value': 530000, 'currency': 'EUR'}",,12,False,36.0,31.0,4.0,4.0,0.0,,83.0,54.0,7.2,"{'original': 7.2, 'alternative': None}",1.0,,9.0,6.0,,2.0,1.0,,,,,14.0,3.0,,,,2.0,4.0,2.0,2.0,1.0,,1.0,,,Llaneros FC,home,
Eyder Restrepo,,eyder-restrepo,E. Restrepo,M,5,169.0,6,1014821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922665600.0,"{'value': 265000, 'currency': 'EUR'}",,5,False,31.0,24.0,,,0.0,,71.0,39.0,6.7,"{'original': 6.7, 'alternative': None}",1.0,,2.0,2.0,,1.0,,,,,,10.0,1.0,,,1.0,,2.0,,,,1.0,,,,Llaneros FC,home,
Bryan Urueña,,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600.0,"{'value': 240000, 'currency': 'EUR'}",,10,False,60.0,48.0,10.0,8.0,0.0,,90.0,79.0,7.6,"{'original': 7.6, 'alternative': None}",4.0,,1.0,2.0,,,2.0,,,,,20.0,2.0,1.0,,,1.0,,,,1.0,3.0,,3.0,True,Llaneros FC,home,
Kener Valencia,Kener Valencia,kener-valencia,K. Valencia,F,70,184.0,54,1174010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002153600.0,"{'value': 285000, 'currency': 'EUR'}",,70,False,10.0,7.0,,,0.0,,62.0,17.0,6.3,"{'original': 6.3, 'alternative': None}",,2.0,7.0,2.0,,3.0,,,,,,7.0,1.0,,,,,,2.0,1.0,2.0,,,,,Llaneros FC,home,
Michael Rangel,,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400.0,"{'value': 190000, 'currency': 'EUR'}",,9,True,9.0,7.0,2.0,2.0,0.0,,28.0,15.0,6.8,"{'original': 6.8, 'alternative': None}",,,2.0,,,,1.0,,,1.0,,6.0,,,,,,,1.0,1.0,,,1.0,,,Llaneros FC,home,
Freddy Espinal,Freddy Espinal,freddy-espinal,F. Espinal,M,11,181.0,9,1175063,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878169600.0,"{'value': 240000, 'currency': 'EUR'}",,11,True,10.0,9.0,1.0,1.0,0.0,,19.0,16.0,6.6,"{'original': 6.6, 'alternative': None}",1.0,1.0,1.0,1.0,,,,,,,1.0,4.0,1.0,,,2.0,,,,,,,,,,Llaneros FC,home,
Maicol Medina,,maicol-medina,M. Medina,M,18,178.0,11,1100059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865382400.0,"{'value': 240000, 'currency': 'EUR'}",,18,True,17.0,16.0,3.0,3.0,0.0,,11.0,18.0,6.7,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,1.0,,,,,,,,,,,,,,Llaneros FC,home,
Jhonatan Mayorga,,jhonatan-mayorga,J. Mayorga,F,16,,8,1847482,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1124323200.0,,,16,True,7.0,6.0,,,0.0,,11.0,9.0,6.8,"{'original': 6.8, 'alternative': None}",,,,2.0,,,,,,,,1.0,,,,,2.0,,,,,,,,,Llaneros FC,home,
Humberto Acevedo,,humberto-acevedo,H. Acevedo,G,77,185.0,17,873463,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864345600.0,"{'value': 53000, 'currency': 'EUR'}",,77,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,
Cristian Valencia,,cristian-valencia,C. Valencia,D,15,186.0,25,842690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,691804800.0,"{'value': 48000, 'currency': 'EUR'}",,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,
Marlon Sierra,,marlon-sierra,M. Sierra,M,6,174.0,6,890057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,780105600.0,"{'value': 97000, 'currency': 'EUR'}",,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,
Eduar Beltrán,Eduar Esteban,eduar-esteban,E. Beltrán,G,1,,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800.0,"{'value': 185000, 'currency': 'EUR'}",Beltrán Restrepo,1,False,25.0,15.0,13.0,3.0,0.0,,90.0,28.0,5.5,"{'original': 5.5, 'alternative': None}",,,,,,,,,,,,10.0,,,,,,,,,,,,,,Unión Magdalena,away,1.0
Daniel Mera,Daniel Mera,daniel-mera,D. Mera,D,3,183.0,7,1470050,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945734400.0,"{'value': 245000, 'currency': 'EUR'}",,3,False,28.0,20.0,3.0,,0.0,,90.0,50.0,6.2,"{'original': 6.2, 'alternative': None}",1.0,,3.0,1.0,,1.0,,,,4.0,,14.0,1.0,,,,1.0,,,1.0,,1.0,,1.0,,Unión Magdalena,away,
Darwin Palomeque,Darwin Palomeque,darwin-palomeque,D. Palomeque,D,18,183.0,7,1470051,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736214400.0,"{'value': 195000, 'currency': 'EUR'}",,18,False,49.0,35.0,8.0,1.0,0.0,,90.0,62.0,7.2,"{'original': 7.2, 'alternative': None}",,2.0,2.0,7.0,,,,,,2.0,,14.0,,,3.0,2.0,3.0,2.0,1.0,1.0,,1.0,,,,Unión Magdalena,away,
Óscar Vanegas,,oscar-vanegas,Ó. Vanegas,D,33,185.0,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200.0,"{'value': 290000, 'currency': 'EUR'}",,33,False,15.0,12.0,5.0,2.0,0.0,,45.0,17.0,6.3,"{'original': 6.3, 'alternative': None}",,,,1.0,,,,,,,,3.0,,,,,,1.0,,,,,,,,Unión Magdalena,away,
Martín Payares,,martin-payares,M. Payares,D,5,183.0,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400.0,"{'value': 410000, 'currency': 'EUR'}",,5,False,45.0,30.0,12.0,1.0,0.0,,90.0,59.0,6.6,"{'original': 6.6, 'alternative': None}",,1.0,1.0,3.0,,,,,,6.0,,16.0,,,2.0,1.0,2.0,,,1.0,,,,,,Unión Magdalena,away,
Dairon Mosquera,,dairon-mosquera,D. Mosquera,D,30,182.0,31,834223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709257600.0,"{'value': 245000, 'currency': 'EUR'}",,30,False,28.0,23.0,4.0,2.0,0.0,,90.0,48.0,6.8,"{'original': 6.8, 'alternative': None}",1.0,1.0,2.0,5.0,,,,,,5.0,,9.0,,,,3.0,3.0,1.0,2.0,,,1.0,,,,Unión Magdalena,away,
Óscar Barreto,,oscar-barreto,Ó. Barreto,M,22,173.0,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 245000, 'currency': 'EUR'}",,22,False,9.0,7.0,1.0,1.0,0.0,,31.0,15.0,6.5,"{'original': 6.5, 'alternative': None}",,,2.0,2.0,1.0,,1.0,,,,,3.0,,,,,1.0,1.0,1.0,,1.0,,,,,Unión Magdalena,away,
Fabián Cantillo,,fabian-cantillo,F. Cantillo,M,24,184.0,9,974035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400.0,"{'value': 390000, 'currency': 'EUR'}",,24,False,47.0,35.0,3.0,1.0,0.0,,90.0,58.0,6.5,"{'original': 6.5, 'alternative': None}",,1.0,4.0,3.0,1.0,2.0,,,,,,17.0,1.0,,,,1.0,1.0,,,,,,,,Unión Magdalena,away,
Juan Diego Giraldo,,juan-diego-giraldo,J. D. Giraldo,M,20,179.0,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800.0,"{'value': 185000, 'currency': 'EUR'}",,21,False,10.0,9.0,1.0,1.0,0.0,,45.0,17.0,6.5,"{'original': 6.5, 'alternative': None}",1.0,,3.0,3.0,,1.0,1.0,,,,,4.0,1.0,,,,3.0,,1.0,,,,,,,Unión Magdalena,away,
