name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,totalTackle,fouls,aerialWon,interceptionWon,penaltyConceded,wasFouled,dispossessed,shotOffTarget,onTargetScoringAttempt,goals,keyPass,blockedScoringAttempt,totalOffside,captain,team,teamType,fieldTranslations,outfielderBlock,hitWoodwork,bigChanceCreated
Eduar Beltrán,Eduar Esteban,Beltrán Restrepo,eduar-esteban,E. Beltrán,G,1,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800.0,"{'value': 185000, 'currency': 'EUR'}",,1,False,24.0,23.0,5.0,4.0,0.0,1.0,1.0,4.0,1.0,1.0,90.0,37.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Daniel Mera,Daniel Mera,,daniel-mera,D. Mera,D,3,7,1470050,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945734400.0,"{'value': 245000, 'currency': 'EUR'}",183.0,3,False,55.0,46.0,7.0,4.0,0.0,,,,,,90.0,79.0,6.3,14.0,"{'original': 6.3, 'alternative': None}",4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,Unión Magdalena,home,,,,
Darwin Palomeque,Darwin Palomeque,,darwin-palomeque,D. Palomeque,D,18,7,1470051,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736214400.0,"{'value': 195000, 'currency': 'EUR'}",183.0,18,False,57.0,48.0,5.0,3.0,0.0,3.0,,,,,90.0,69.0,6.0,10.0,"{'original': 6, 'alternative': None}",,,1.0,4.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,Unión Magdalena,home,,,,
Martín Payares,,,martin-payares,M. Payares,D,5,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400.0,"{'value': 410000, 'currency': 'EUR'}",183.0,5,False,53.0,45.0,9.0,3.0,0.0,1.0,,,,,86.0,61.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",,,,1.0,5.0,,,,3.0,,2.0,2.0,,,1.0,,,,,,,,Unión Magdalena,home,,,,
David Murillo,,,david-murillo,D. Murillo,D,4,14,805277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 97000, 'currency': 'EUR'}",178.0,4,False,21.0,15.0,2.0,,0.0,,,,,,45.0,33.0,6.3,11.0,"{'original': 6.3, 'alternative': None}",1.0,,,4.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,1.0,,,,,,,,Unión Magdalena,home,,,,
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,"{'value': 480000, 'currency': 'EUR'}",179.0,10,False,52.0,44.0,2.0,2.0,0.0,,,,,,90.0,77.0,7.5,22.0,"{'original': 7.5, 'alternative': None}",10.0,,,3.0,2.0,,3.0,1.0,1.0,,,1.0,,,1.0,1.0,2.0,1.0,,,,,Unión Magdalena,home,,,,
Fabián Cantillo,,,fabian-cantillo,F. Cantillo,M,24,9,974035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400.0,"{'value': 390000, 'currency': 'EUR'}",184.0,24,False,56.0,47.0,4.0,1.0,0.0,,,,,,90.0,62.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",,,,4.0,1.0,,2.0,,1.0,1.0,,,,,1.0,,,,3.0,,,,Unión Magdalena,home,,,,
Cristian Sención,,,cristian-sencion,C. Sención,M,16,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200.0,"{'value': 290000, 'currency': 'EUR'}",179.0,16,False,25.0,19.0,,,0.0,,,,,,74.0,34.0,6.3,11.0,"{'original': 6.3, 'alternative': None}",1.0,,,5.0,3.0,1.0,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,True,Unión Magdalena,home,,,,
Eric Krame,,,eric-krame,E. Krame,F,7,23,1472384,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,921456000.0,,,15,False,13.0,10.0,,,0.0,,,,,,45.0,18.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",1.0,,,2.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,Unión Magdalena,home,,,,
Óscar Barreto,,,oscar-barreto,Ó. Barreto,M,22,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 245000, 'currency': 'EUR'}",173.0,22,False,54.0,46.0,7.0,4.0,0.0,,,,,,90.0,73.0,8.0,12.0,"{'original': 8, 'alternative': None}",2.0,1.0,,4.0,6.0,1.0,2.0,1.0,1.0,1.0,,,,4.0,1.0,3.0,3.0,,3.0,1.0,1.0,,Unión Magdalena,home,,,,
