name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,possessionLostCtrl,totalCross,accurateCross,duelLost,duelWon,totalContest,shotOffTarget,interceptionWon,totalTackle,fouls,challengeLost,aerialWon,outfielderBlock,totalOffside,blockedScoringAttempt,keyPass,dispossessed,wasFouled,wonContest,aerialLost,onTargetScoringAttempt,captain,team,teamType,fieldTranslations,goals
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,187.0,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000.0,"{'value': 105000, 'currency': 'EUR'}",34,False,16.0,13.0,6.0,3.0,0.0,1.0,1.0,5.0,79.0,26.0,4.0,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,
David Murillo,,,david-murillo,D. Murillo,D,4,178.0,14,805277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 97000, 'currency': 'EUR'}",4,False,26.0,24.0,2.0,1.0,0.0,1.0,,,79.0,40.0,6.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,Unión Magdalena,home,,
Jesus Peñaloza,José Peñaloza,,jose-penaloza,J. Peñaloza,,25,,5,2142544,{},EUR,1217548800.0,,25,False,24.0,22.0,3.0,2.0,0.0,4.0,,,79.0,29.0,3.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,Unión Magdalena,home,,
Martín Payares,,,martin-payares,M. Payares,D,5,183.0,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400.0,"{'value': 410000, 'currency': 'EUR'}",5,False,30.0,28.0,7.0,5.0,0.0,2.0,,,79.0,38.0,2.0,,,,2.0,,1.0,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,,Unión Magdalena,home,,
Dairon Mosquera,,,dairon-mosquera,D. Mosquera,D,30,182.0,31,834223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709257600.0,"{'value': 245000, 'currency': 'EUR'}",30,False,30.0,24.0,4.0,2.0,0.0,2.0,,,79.0,46.0,10.0,4.0,1.0,2.0,3.0,1.0,,1.0,1.0,,1.0,2.0,,,1.0,2.0,,,,,,,Unión Magdalena,home,,
Cristian Sención,,,cristian-sencion,C. Sención,M,16,179.0,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200.0,"{'value': 290000, 'currency': 'EUR'}",16,False,31.0,23.0,4.0,1.0,0.0,1.0,,,66.0,36.0,9.0,,,2.0,3.0,,,1.0,1.0,2.0,,1.0,,,,,1.0,1.0,,,,,Unión Magdalena,home,,
Óscar Barreto,,,oscar-barreto,Ó. Barreto,M,22,173.0,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 245000, 'currency': 'EUR'}",22,False,25.0,20.0,3.0,,0.0,,,,66.0,41.0,12.0,1.0,,2.0,3.0,3.0,2.0,,1.0,,,,,,3.0,,,1.0,1.0,,,,Unión Magdalena,home,,
José Mercado,José Mercado,,jose-mercado,J. Mercado,M,28,,21,1201151,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1061424000.0,"{'value': 165000, 'currency': 'EUR'}",28,False,52.0,42.0,2.0,2.0,0.0,,,,68.0,61.0,13.0,,,4.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,2.0,1.0,,1.0,1.0,,,Unión Magdalena,home,,
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,179.0,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,"{'value': 480000, 'currency': 'EUR'}",10,False,21.0,17.0,1.0,1.0,0.0,,,,79.0,34.0,8.0,5.0,2.0,,4.0,,,1.0,2.0,,,,,,,4.0,,2.0,,,1.0,True,Unión Magdalena,home,,
Valentin Sanchez,Valentin Sanchez,,valentin-sanchez,V. Sanchez,M,8,,4,1390760,{},EUR,1012867200.0,,8,False,22.0,17.0,1.0,1.0,0.0,1.0,,,79.0,29.0,8.0,1.0,,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,Unión Magdalena,home,,
Ruyery Blanco,,,ruyery-blanco,R. Blanco,F,17,180.0,31,974049,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912988800.0,"{'value': 230000, 'currency': 'EUR'}",17,False,25.0,23.0,,,0.0,,,,66.0,33.0,7.0,,,7.0,1.0,1.0,2.0,,,2.0,,,,1.0,,2.0,3.0,1.0,,1.0,,,Unión Magdalena,home,,
Freddy Molina,,,molina-freddy,F. Molina,D,18,,5,1512008,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,,,18,True,1.0,1.0,,,0.0,,,,13.0,2.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,Unión Magdalena,home,,
Jhoan Pinto,,,jhoan-pinto,J. Pinto,M,14,,5,1831290,{},EUR,,,14,True,,,,,0.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,
Ricardo Márquez,,,ricardo-marquez,R. Márquez,F,21,187.0,117,974046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 245000, 'currency': 'EUR'}",21,True,,,,,0.0,,,,13.0,4.0,3.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,Unión Magdalena,home,,
Eduar Beltrán,Eduar Esteban,Beltrán Restrepo,eduar-esteban,E. Beltrán,G,1,,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800.0,"{'value': 185000, 'currency': 'EUR'}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,
Jefrey Trujillo,Jefrey Trujillo,,jefrey-trujillo,J. Trujillo,D,27,,4,1201145,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1036368000.0,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,
Juan José Tello,Juan José Tello,,juan-jose-tello,J. J. Tello,D,26,,11,1108713,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021593600.0,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,
Kleber Díaz,Kleber Díaz,,kleber-diaz,K. Díaz,F,19,,3,2040668,{},EUR,1073952000.0,,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,
James Aguirre,,,james-aguirre,J. Aguirre,G,12,181.0,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400.0,"{'value': 290000, 'currency': 'EUR'}",12,False,28.0,18.0,14.0,4.0,0.0,1.0,1.0,2.0,79.0,35.0,11.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,Once Caldas,away,,
Juan David Cuesta,Juan David Cuesta,,juan-david-cuesta,J. D. Cuesta,D,22,174.0,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400.0,"{'value': 630000, 'currency': 'EUR'}",22,False,32.0,27.0,3.0,2.0,0.0,1.0,,,79.0,39.0,6.0,1.0,,1.0,3.0,,,,,1.0,,2.0,,,,1.0,,1.0,,1.0,,,Once Caldas,away,,
Jerson Malagón,,,jerson-malagon,J. Malagón,D,3,185.0,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800.0,"{'value': 380000, 'currency': 'EUR'}",3,False,45.0,39.0,6.0,2.0,0.0,2.0,,,79.0,55.0,7.0,,,,4.0,,,1.0,4.0,,,,1.0,,,,,,,,,,Once Caldas,away,,
Jaider Riquett,,,jaider-riquett,J. Riquett,D,18,184.0,11,924615,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,642297600.0,"{'value': 215000, 'currency': 'EUR'}",18,False,32.0,27.0,4.0,2.0,0.0,,,,79.0,37.0,6.0,,,,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,Once Caldas,away,,
Juan Patiño,,,juan-patino,J. Patiño,D,33,184.0,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600.0,"{'value': 605000, 'currency': 'EUR'}",33,False,30.0,23.0,7.0,2.0,0.0,2.0,,,79.0,43.0,8.0,2.0,2.0,4.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,2.0,,,,2.0,,,Once Caldas,away,,
Mateo García,,,mateo-garcia,M. García,M,19,178.0,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400.0,"{'value': 955000, 'currency': 'EUR'}",19,False,46.0,40.0,3.0,2.0,0.0,,,,70.0,49.0,8.0,1.0,,4.0,1.0,,,,,3.0,,,,,,,1.0,1.0,,,,,Once Caldas,away,,
Iván Rojas,,,ivan-rojas,I. Rojas,M,5,177.0,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 670000, 'currency': 'EUR'}",5,False,33.0,28.0,4.0,2.0,0.0,3.0,,,79.0,43.0,7.0,,,3.0,2.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,Once Caldas,away,,
Luis Palacios,,,palacios-luis,L. Palacios,M,24,181.0,31,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800.0,"{'value': 370000, 'currency': 'EUR'}",24,False,14.0,10.0,1.0,1.0,0.0,,,,45.0,25.0,12.0,1.0,,3.0,2.0,3.0,,1.0,,,,,,,,2.0,1.0,1.0,1.0,,,,Once Caldas,away,,
Alejandro García,,,alejandro-garcia,A. García,M,20,185.0,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400.0,"{'value': 835000, 'currency': 'EUR'}",20,False,39.0,36.0,1.0,1.0,0.0,,,,64.0,54.0,10.0,5.0,,3.0,6.0,2.0,,,3.0,,,,,,1.0,,1.0,1.0,2.0,2.0,,,Once Caldas,away,,
Michael Barrios,,,michael-barrios,M. Barrios,M,7,163.0,232,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000.0,"{'value': 570000, 'currency': 'EUR'}",7,False,20.0,18.0,,,0.0,,,,77.0,29.0,4.0,1.0,,2.0,2.0,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,3.0,,Once Caldas,away,,
Dayro Moreno,,,dayro-moreno,D. Moreno,F,17,178.0,1671,31715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,495676800.0,"{'value': 95000, 'currency': 'EUR'}",17,False,15.0,10.0,1.0,,0.0,,,,77.0,24.0,7.0,,,1.0,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,2.0,True,Once Caldas,away,,1.0
Mateo Zuleta,Mateo,Zuleta,mateo-zuleta,M. Zuleta,M,28,170.0,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000.0,"{'value': 405000, 'currency': 'EUR'}",28,True,8.0,8.0,,,0.0,,,,34.0,10.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,Once Caldas,away,,
Johan Esteban Beltran Montaño,,,johan-esteban-beltran-montano,J. E. B. Montaño,M,8,178.0,21,1099609,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,,8,True,7.0,5.0,,,0.0,,,,15.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,Once Caldas,away,,
