"jugador","equipo","equipo_durante_el_periodo_seleccionado","posicion_especifica","edad","valor_de_mercado_transfermarkt","vencimiento_contrato","partidos_jugados","minutos","goles","x_g","asistencias","x_a","duelos_90","duelos_ganados_percent","pais_de_nacimiento","pasaporte","pie","altura","peso","en_prestamo","acciones_defensivas_realizadas_90","duelos_defensivos_90","duelos_defensivos_ganados_percent","duelos_aereos_en_los_90","duelos_aereos_ganados_percent","entradas_90","posesion_conquistada_despues_de_una_entrada","tiros_interceptados_90","interceptaciones_90","posesion_conquistada_despues_de_una_interceptacion","faltas_90","tarjetas_amarillas","tarjetas_amarillas_90","tarjetas_rojas","tarjetas_rojas_90","acciones_de_ataque_exitosas_90","goles_90","goles_excepto_los_penaltis","goles_excepto_los_penaltis_90","x_g_90","goles_de_cabeza","goles_de_cabeza_90","remates","remates_90","tiros_a_la_porteria_percent","goles_hechos_percent","centros_90","precision_centros_percent","centros_desde_la_banda_izquierda_90","precision_centros_desde_la_banda_izquierda_percent","centros_desde_la_banda_derecha_90","precision_centros_desde_la_banda_derecha_percent","centros_al_area_pequena_90","regates_90","regates_realizados_percent","duelos_atacantes_90","duelos_atacantes_ganados_percent","toques_en_el_area_de_penalti_90","carreras_en_progresion_90","aceleraciones_90","pases_recibidos_90","pases_largos_recibidos_90","faltas_recibidas_90","pases_90","precision_pases_percent","pases_hacia_adelante_90","precision_pases_hacia_adelante_percent","pases_hacia_atras_90","precision_pases_hacia_atras_percent","pases_laterales_90","precision_pases_laterales_percent","pases_cortos_medios_90","precision_pases_cortos_medios_percent","pases_largos_90","precision_pases_largos_percent","longitud_media_pases_m","longitud_media_pases_largos_m","x_a_90","asistencias_90","second_assists_90","third_assists_90","desmarques_90","precision_desmarques_percent","jugadas_claves_90","pases_en_el_ultimo_tercio_90","precision_pases_en_el_ultimo_tercio_percent","pases_al_area_de_penalti_90","pases_hacia_el_area_pequena_percent","pases_en_profundidad_90","precision_pases_en_profundidad_percent","ataque_en_profundidad_90","centros_desde_el_ultimo_tercio_90","pases_progresivos_90","precision_pases_progresivos_percent","goles_recibidos","goles_recibidos_90","remates_en_contra","remates_en_contra_90","porterias_imbatidas_en_los_90","paradas_percent","x_g_en_contra","x_g_en_contra_90","goles_evitados","goles_evitados_90","pases_hacia_atras_recibidos_del_arquero_90","salidas_90","tiros_libres_90","tiros_libres_directos_90","tiros_libres_directos_percent","corneres_90","penaltis_a_favor","penaltis_realizados_percent","Country","Code","logo_team","categoria","archivo_png.x","archivo_png.y","archivo_png"
"A. Mosquera","Santa Fe","Santa Fe","GK",33,750000,"2026-12-31",28,2821,0,0,0,0,0.54,88.24,"Colombia","Colombia","derecho",186,78,"no",1.12,0.1,66.67,0.32,100,0,0,0,1.05,1.47,0.03,4,0.13,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.1,66.67,0,0,0,6.86,0.13,0.1,13.43,79.81,7.82,66.53,0,0,5.14,98.14,8.39,97.72,5.04,50,33.61,53.38,0,0,0,0,0,0,0,1.91,50,0.16,20,0.19,33.33,0.03,0,3.35,71.43,23,0.73,114,3.64,11,79.82,29.22,0.93,6.22,0.198,0,1.6,NA,NA,NA,0,0,0,"Colombia","STF","COL_STF","Arqueros",NA,NA,NA
"D. Londoño","Medellín","Medellín","LCB",30,450000,NA,29,2796,1,1.31,0,1.06,11.88,65.85,"Colombia","Colombia","izquierdo",185,82,"no",7.24,4.67,75.86,2.29,74.65,0.19,0.33,0.29,3.51,5.92,0.45,8,0.26,1,0.03,1.19,0.03,1,0.03,0.04,0,0,44,1.42,22.73,2.273,0.9,32.14,0.8,36,0.06,0,0.19,0.71,68.18,3.09,46.88,0.58,2.19,0.16,32.99,0.64,0.84,47.38,86.35,21.28,79.27,3.64,93.81,14.68,91.67,40.3,93.05,6.28,50.26,20.26,39.89,0.03,0.35,0.03,0,0.19,50,0.26,8.72,75.28,1.77,41.82,1,38.71,0.55,0.29,9.11,79.15,0,NA,0,NA,0,0,0,0,NA,NA,0.93,NA,0.35,0.26,25,0.03,0,0,"Colombia","MDL","COL_MDL","Defensas",NA,NA,NA
"V. Moreno","Santa Fe","Santa Fe","LCB",30,5e+05,NA,27,2664,1,0.93,2,0,10.03,59.26,"Colombia","Colombia","derecho",184,78,"no",6.69,4.29,72.44,3.28,51.55,0.2,0.28,0.3,3.38,4.67,0.78,8,0.27,0,0,0.03,0.03,1,0.03,0.03,1,0.03,8,0.27,12.5,12.5,0.03,0,0.03,0,0,0,0,0.1,0,0.61,27.78,0.41,0.37,0.07,18.95,0.24,0.2,28.89,88.54,12.3,78.57,1.49,97.73,13.24,95.92,25.07,92.32,3.78,64.29,21.92,33.81,0,0,0,0,0,0,0.03,2.06,62.3,0.14,0,0.24,71.43,0.17,0,5.3,65.61,0,NA,0,NA,0,0,0,0,NA,NA,1.22,NA,0,0,0,0,0,0,"Colombia","STF","COL_STF","Defensas",NA,NA,NA
"W. Aguerre","Medellín","Medellín","GK",32,8e+05,NA,26,2615,0,0,0,0,0.76,72.73,"Uruguay","Uruguay","derecho",188,85,"no",1.38,0.14,75,0.31,88.89,0.03,0.06,0,1.24,2.14,0.03,8,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.24,57.14,0,0,0,5.85,0.17,0.21,12.42,83.38,8.4,76.23,0,0,3.68,98.13,7.4,98.14,4.99,62.07,36.51,51.91,0,0,0,0,0,0,0,1.86,57.41,0.07,0,0.1,0,0,0,3.58,80.77,20,0.69,90,3.1,12,77.78,18.24,0.63,-1.76,-0.061,0,0.89,NA,NA,NA,0,0,0,"Colombia","MDL","COL_MDL","Arqueros",NA,NA,NA
"J. Guerrero","Junior","Junior","RB",24,0,NA,28,2538,1,0.4,2,1.9,19.57,52.54,"Colombia","Colombia",NA,170,0,"no",8.33,7.7,58.99,1.35,50,0.25,0.37,0.18,3.55,5.34,0.96,5,0.18,0,0,3.01,0.04,1,0.04,0.01,0,0,14,0.5,28.57,7.143,2.45,23.19,0.57,12.5,1.88,26.42,0.46,3.62,60.78,8.69,48.16,1.1,2.94,0.5,23.87,1.91,1.28,33.79,79.54,11.63,70.43,7.16,93.56,8.94,79.37,28.76,86.19,2.77,61.54,17.28,33.22,0.07,0.64,0,0,0.18,60,0.39,3.51,67.68,2.38,31.34,0.39,45.45,0.46,0.6,5.28,67.11,0,NA,0,NA,0,0,0,0,NA,NA,0.57,NA,0,0,0,0.04,0,0,"Colombia","JNR","COL_JNR","Defensas",NA,NA,NA
"C. Mafla","Santa Fe","Santa Fe","LB",32,250000,NA,28,2529,1,1.68,0,1.01,9.89,52.16,"Colombia","Colombia","izquierdo",175,70,"no",5.98,4.13,55.17,1.89,58.49,0.21,0.3,0.25,3.49,4.89,0.82,6,0.21,0,0,0.75,0.04,1,0.04,0.06,0,0,13,0.46,30.77,7.692,1.35,23.68,1.35,23.68,0,0,0.18,0.53,53.33,2.67,46.67,0.89,0.64,0.07,12.38,0.71,0.82,19,72.28,8.26,62.5,3.24,93.41,4.59,71.32,15.05,82.03,2.7,42.11,20.65,36.94,0.04,0.46,0,0,0,0,0.14,2.85,60,1.28,19.44,0.07,0,0.28,0.25,4.16,58.97,0,NA,0,NA,0,0,0,0,NA,NA,0.43,NA,0.07,0,0,0.11,0,0,"Colombia","STF","COL_STF","Defensas",NA,NA,NA
"W. Tesillo","Atlético Nacional","Atlético Nacional","LCB",35,550000,NA,26,2475,0,1.99,0,0.51,9.96,62.04,"Colombia","Colombia","izquierdo",184,78,"no",7.49,4.11,67.26,2.47,67.65,0.04,0.06,0.55,4.69,8.34,0.62,5,0.18,1,0.04,0.8,0,0,0,0.07,0,0,20,0.73,50,0,0.58,50,0.55,46.67,0,0,0.11,0.25,57.14,1.89,42.31,0.62,1.02,0,39.75,0.84,0.29,54.33,89.36,27.42,84.88,3.38,98.92,18.55,94.51,44.98,95.07,8.8,62.4,21.35,37.96,0.02,0.33,0,0,0,0,0.18,8.73,76.67,1.35,54.05,0.76,23.81,0.51,0.29,12.62,83.86,0,NA,0,NA,0,0,0,0,NA,NA,2.36,NA,0,0,0,0,0,0,"Colombia","NAC","COL_NAC","Defensas",NA,NA,NA
"J. Báez","Junior","Junior","RCB",35,4e+05,NA,25,2466,1,2.32,1,0.11,9.01,63.97,"Paraguay","Paraguay, Argentina","derecho",180,77,"no",6.93,3.18,70.11,2.26,54.84,0.11,0.17,0.62,4.6,6.99,0.51,5,0.18,1,0.04,0.29,0.04,1,0.04,0.08,0,0,11,0.4,45.45,9.091,0.29,12.5,0.11,0,0.15,25,0.04,0.11,66.67,0.69,52.63,0.55,0.33,0,23.98,0.77,0.51,36.75,85.8,18.8,79.81,1.64,97.78,14.05,93.25,29.05,92.71,7.41,61.58,24.91,41.31,0,0.11,0,0.04,0,0,0.04,4.74,63.85,0.55,20,0.4,18.18,0.11,0.07,9.64,77.65,0,NA,0,NA,0,0,0,0,NA,NA,1.28,NA,0.04,0.04,0,0,1,0,"Colombia","JNR","COL_JNR","Defensas",NA,NA,NA
"D. Banguero","Millonarios","Millonarios","LB",35,350000,"2025-12-31",25,2464,0,0.34,2,0.77,13.95,58.12,"Colombia","Colombia","izquierdo",185,85,"no",9.24,6.83,65.78,2.92,63.75,0.58,0.9,0.11,4.16,6.42,1.1,5,0.18,1,0.04,1.39,0,0,0,0.01,0,0,15,0.55,0,0,1.79,38.78,1.79,38.78,0,0,0.11,1.02,57.14,3,41.46,0.66,1.5,0.07,34.7,1.1,0.22,47.85,81.37,23.96,77.13,4.42,93.39,12.49,85.09,40.58,86.95,5.52,54.3,18.88,35.16,0.03,0.47,0,0,0.15,75,0.26,9.86,72.59,3.36,42.39,0.84,34.78,0.77,0.73,13.41,77.93,0,NA,0,NA,0,0,0,0,NA,NA,1.1,NA,0.11,0.07,0,0,0,0,"Colombia","MIL","COL_MIL","Defensas",NA,NA,NA
"H. Rodallega","Santa Fe","Santa Fe","CF",40,150000,"2025-12-31",25,2434,11,13.64,2,1.55,15.42,34.29,"Colombia","Colombia","derecho",181,75,"no",2.26,1.29,57.14,5.84,37.97,0,0,0.11,1.52,2.18,0.67,6,0.22,0,0,1.59,0.41,7,0.26,0.5,0,0,90,3.33,33.33,12.222,0.26,0,0.04,0,0.18,0,0,1.18,37.5,4.73,27.34,3.07,0.52,0.04,11.54,1.66,0.74,15.16,71.95,4.7,63.78,2.7,89.04,4.77,72.87,14.09,74.8,0.81,45.45,16.77,16.13,0.06,0.55,0.07,0,0.18,20,0.37,2.59,60,1.52,51.22,0.37,30,0.92,0.04,1.92,80.77,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0.3,0.26,28.57,0,4,100,"Colombia","STF","COL_STF","Delanteros",NA,NA,NA
