"variable","nombre","tipo"
"jugador","Jugador","General"
"equipo","Equipo","General"
"equipo_durante_el_periodo_seleccionado","Equipo Durante El Periodo Seleccionado","General"
"posicion_especifica","Posición Específica","General"
"edad","Edad","General"
"valor_de_mercado_transfermarkt","Valor de mercado","General"
"vencimiento_contrato","Vencimiento contrato","General"
"partidos_jugados","Partidos jugados","General"
"minutos","Minutos","General"
"goles","Goles","Attack"
"x_g","xG","Attack"
"asistencias","Asistencias","Creativity"
"x_a","xA","Creativity"
"duelos_90","Duelos / 90","Physical"
"duelos_ganados_percent","Duelos ganados (%)","Physical"
"pais_de_nacimiento","País de nacimiento","General"
"pasaporte","Pasaporte","General"
"pie","Pie dominante","General"
"altura","Altura","General"
"peso","Peso","General"
"en_prestamo","En préstamo","General"
"acciones_defensivas_realizadas_90","Acciones defensivas / 90","Defense"
"duelos_defensivos_90","Duelos defensivos / 90","Defense"
"duelos_defensivos_ganados_percent","Duelos defensivos ganados (%)","Defense"
"duelos_aereos_en_los_90","Duelos aéreos / 90","Defense"
"duelos_aereos_ganados_percent","Duelos aéreos ganados (%)","Defense"
"entradas_90","Entradas / 90","Defense"
"posesion_conquistada_despues_de_una_entrada","Posesión tras entrada","Defense"
"tiros_interceptados_90","Tiros interceptados / 90","Defense"
"interceptaciones_90","Intercepciones / 90","Defense"
"posesion_conquistada_despues_de_una_interceptacion","Posesión tras intercepción","Defense"
"faltas_90","Faltas / 90","Discipline"
"tarjetas_amarillas","Tarjetas amarillas","Discipline"
"tarjetas_amarillas_90","Tarjetas amarillas / 90","Discipline"
"tarjetas_rojas","Tarjetas rojas","Discipline"
"tarjetas_rojas_90","Tarjetas rojas / 90","Discipline"
"acciones_de_ataque_exitosas_90","Acciones ofensivas exitosas / 90","Attack"
"goles_90","Goles / 90","Attack"
"goles_excepto_los_penaltis","Goles (sin penaltis)","Attack"
"goles_excepto_los_penaltis_90","Goles (sin penaltis) / 90","Attack"
"x_g_90","xG / 90","Attack"
"goles_de_cabeza","Goles de cabeza","Attack"
"goles_de_cabeza_90","Goles de cabeza / 90","Attack"
"remates","Remates","Attack"
"remates_90","Remates / 90","Attack"
"tiros_a_la_porteria_percent","Precisión de remates (%)","Attack"
"goles_hechos_percent","Tasa de conversión (%)","Attack"
"asistencias_90","Asistencias / 90","Creativity"
"centros_90","Centros / 90","Attack"
"precision_centros_percent","Precisión centros (%)","Attack"
"centros_desde_la_banda_izquierda_90","Centros izquierda / 90","Attack"
"precision_centros_desde_la_banda_izquierda_percent","Precisión izquierda (%)","Attack"
"centros_desde_la_banda_derecha_90","Centros derecha / 90","Attack"
"precision_centros_desde_la_banda_derecha_percent","Precisión derecha (%)","Attack"
"centros_al_area_pequena_90","Centros al área pequeña / 90","Attack"
"regates_90","Regates / 90","Physical"
"regates_realizados_percent","Éxito en regates (%)","Physical"
"duelos_atacantes_90","Duelos ofensivos / 90","Attack"
"duelos_atacantes_ganados_percent","Duelos ofensivos ganados (%)","Attack"
"toques_en_el_area_de_penalti_90","Toques en área / 90","Attack"
"carreras_en_progresion_90","Carreras progresivas / 90","Attack"
"aceleraciones_90","Aceleraciones / 90","Attack"
"pases_recibidos_90","Pases recibidos / 90","Physical"
"pases_largos_recibidos_90","Pases largos recibidos / 90","Physical"
"faltas_recibidas_90","Faltas recibidas / 90","Discipline"
