"","x"
"1","jugador"
"2","equipo"
"3","equipo_durante_el_periodo_seleccionado"
"4","posicion_especifica"
"5","edad"
"6","valor_de_mercado_transfermarkt"
"7","vencimiento_contrato"
"8","partidos_jugados"
"9","minutos"
"10","goles"
"11","x_g"
"12","asistencias"
"13","x_a"
"14","duelos_90"
"15","duelos_ganados_percent"
"16","pais_de_nacimiento"
"17","pasaporte"
"18","pie"
"19","altura"
"20","peso"
"21","en_prestamo"
"22","acciones_defensivas_realizadas_90"
"23","duelos_defensivos_90"
"24","duelos_defensivos_ganados_percent"
"25","duelos_aereos_en_los_90"
"26","duelos_aereos_ganados_percent"
"27","entradas_90"
"28","posesion_conquistada_despues_de_una_entrada"
"29","tiros_interceptados_90"
"30","interceptaciones_90"
"31","posesion_conquistada_despues_de_una_interceptacion"
"32","faltas_90"
"33","tarjetas_amarillas"
"34","tarjetas_amarillas_90"
"35","tarjetas_rojas"
"36","tarjetas_rojas_90"
"37","acciones_de_ataque_exitosas_90"
"38","goles_90"
"39","goles_excepto_los_penaltis"
"40","goles_excepto_los_penaltis_90"
"41","x_g_90"
"42","goles_de_cabeza"
"43","goles_de_cabeza_90"
"44","remates"
"45","remates_90"
"46","tiros_a_la_porteria_percent"
"47","goles_hechos_percent"
"48","asistencias_90"
"49","centros_90"
"50","precision_centros_percent"
"51","centros_desde_la_banda_izquierda_90"
"52","precision_centros_desde_la_banda_izquierda_percent"
"53","centros_desde_la_banda_derecha_90"
"54","precision_centros_desde_la_banda_derecha_percent"
"55","centros_al_area_pequena_90"
"56","regates_90"
"57","regates_realizados_percent"
"58","duelos_atacantes_90"
"59","duelos_atacantes_ganados_percent"
"60","toques_en_el_area_de_penalti_90"
"61","carreras_en_progresion_90"
"62","aceleraciones_90"
"63","pases_recibidos_90"
"64","pases_largos_recibidos_90"
"65","faltas_recibidas_90"
"66","pases_90"
"67","precision_pases_percent"
"68","pases_hacia_adelante_90"
"69","precision_pases_hacia_adelante_percent"
"70","pases_hacia_atras_90"
"71","precision_pases_hacia_atras_percent"
"72","pases_laterales_90"
"73","precision_pases_laterales_percent"
"74","pases_cortos_medios_90"
"75","precision_pases_cortos_medios_percent"
"76","pases_largos_90"
"77","precision_pases_largos_percent"
"78","longitud_media_pases_m"
"79","longitud_media_pases_largos_m"
"80","x_a_90"
"81","second_assists_90"
"82","third_assists_90"
"83","desmarques_90"
"84","precision_desmarques_percent"
"85","jugadas_claves_90"
"86","pases_en_el_ultimo_tercio_90"
"87","precision_pases_en_el_ultimo_tercio_percent"
"88","pases_al_area_de_penalti_90"
"89","pases_hacia_el_area_pequena_percent"
"90","pases_en_profundidad_90"
"91","precision_pases_en_profundidad_percent"
"92","ataque_en_profundidad_90"
"93","centros_desde_el_ultimo_tercio_90"
"94","pases_progresivos_90"
"95","precision_pases_progresivos_percent"
"96","goles_recibidos"
"97","goles_recibidos_90"
"98","remates_en_contra"
"99","remates_en_contra_90"
"100","porterias_imbatidas_en_los_90"
"101","paradas_percent"
"102","x_g_en_contra"
"103","x_g_en_contra_90"
"104","goles_evitados"
"105","goles_evitados_90"
"106","pases_hacia_atras_recibidos_del_arquero_90"
"107","salidas_90"
"108","tiros_libres_90"
"109","tiros_libres_directos_90"
"110","tiros_libres_directos_percent"
"111","corneres_90"
"112","penaltis_a_favor"
"113","penaltis_realizados_percent"
