"jugador","equipo","equipo_durante_el_periodo_seleccionado","posicion_especifica","edad","valor_de_mercado_transfermarkt","vencimiento_contrato","partidos_jugados","minutos","goles","x_g","asistencias","x_a","duelos_90","duelos_ganados_percent","pais_de_nacimiento","pasaporte","pie","altura","peso","en_prestamo","acciones_defensivas_realizadas_90","duelos_defensivos_90","duelos_defensivos_ganados_percent","duelos_aereos_en_los_90_25","duelos_aereos_ganados_percent","entradas_90","posesion_conquistada_despues_de_una_entrada","tiros_interceptados_90","interceptaciones_90","posesion_conquistada_despues_de_una_interceptacion","faltas_90","tarjetas_amarillas","tarjetas_amarillas_90","tarjetas_rojas","tarjetas_rojas_90","acciones_de_ataque_exitosas_90","goles_90","goles_excepto_los_penaltis","goles_excepto_los_penaltis_90","x_g_90","goles_de_cabeza","goles_de_cabeza_90","remates","remates_90","tiros_a_la_porteria_percent","goles_hechos_percent","asistencias_90_48","centros_90","precision_centros_percent","centros_desde_la_banda_izquierda_90","precision_centros_desde_la_banda_izquierda_percent","centros_desde_la_banda_derecha_90","precision_centros_desde_la_banda_derecha_percent","centros_al_area_pequena_90","regates_90","regates_realizados_percent","duelos_atacantes_90","duelos_atacantes_ganados_percent","toques_en_el_area_de_penalti_90","carreras_en_progresion_90","aceleraciones_90","pases_recibidos_90","pases_largos_recibidos_90","faltas_recibidas_90","pases_90","precision_pases_percent","pases_hacia_adelante_90","precision_pases_hacia_adelante_percent","pases_hacia_atras_90","precision_pases_hacia_atras_percent","pases_laterales_90","precision_pases_laterales_percent","pases_cortos_medios_90","precision_pases_cortos_medios_percent","pases_largos_90","precision_pases_largos_percent","longitud_media_pases_m","longitud_media_pases_largos_m","x_a_90","second_assists_90","third_assists_90","desmarques_90","precision_desmarques_percent","jugadas_claves_90","pases_en_el_ultimo_tercio_90","precision_pases_en_el_ultimo_tercio_percent","pases_al_area_de_penalti_90","pases_hacia_el_area_pequena_percent","pases_en_profundidad_90","precision_pases_en_profundidad_percent","ataque_en_profundidad_90","centros_desde_el_ultimo_tercio_90","pases_progresivos_90","precision_pases_progresivos_percent","goles_recibidos","goles_recibidos_90","remates_en_contra","remates_en_contra_90","porterias_imbatidas_en_los_90","paradas_percent","x_g_en_contra","x_g_en_contra_90","goles_evitados","goles_evitados_90","pases_hacia_atras_recibidos_del_arquero_90","salidas_90","tiros_libres_90","tiros_libres_directos_90","tiros_libres_directos_percent","corneres_90","penaltis_a_favor","penaltis_realizados_percent","Country","Code","logo_team","categoria","archivo_png"
"F. Ferrero","Nueva Chicago","Nueva Chicago","GK",30,175000,NA,42,4136,0,0,1,0,0.89,87.8,"Argentina","Argentina","derecho",184,83,"no",2.26,0.17,62.5,0.44,90,0.02,0.03,0,2.13,3.31,0.04,3,0.07,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.15,100,0,0,0,6.59,0.15,0.3,16.21,78.12,11.18,69.07,0.02,100,4.81,98.64,7.31,97.32,8.83,62.81,42.48,57.94,0,0,0,0.02,100,0.02,4.98,59.83,0.3,14.29,0.22,20,0.04,0,6.57,82.12,36,0.78,158,3.44,15,77.22,44.29,0.96,8.29,0.18,0,1.91,NA,NA,NA,0,0,0,"Argentina","NUC","ARG_NUC","Arqueros",NA
"T. Bottari","Nueva Chicago","Nueva Chicago","LDMF",23,175000,"2024-12-31",40,3742,0,0.13,0,0.27,21.14,55.4,"Argentina","Argentina","derecho",173,70,"no",14.74,10.25,67.14,3.49,51.03,1.25,2.06,0.26,6.61,10.9,1.27,12,0.29,0,0,0.48,0,0,0,0,0,0,2,0.05,0,0,0,0.26,27.27,0.14,33.33,0.12,20,0.02,0.67,60.71,3.94,38.41,0.05,0.55,0.17,19.51,0.26,1.06,38.82,81.23,14.89,68.66,4.02,94.01,14.53,89.9,32.81,84.97,5.77,62.08,19.06,33.84,0.01,0.02,0,0.07,0,0,6.73,67.86,1.06,34.09,0.53,31.82,0.34,0.05,7.31,67.43,0,NA,0,NA,0,0,0,0,NA,NA,0.58,NA,0.1,0,0,0,0,0,"Argentina","NUC","ARG_NUC","Mediocampo_Defensivo",NA
"D. Mondino","Gimnasia Mendoza","Gimnasia Mendoza","RCB",30,375000,"2025-12-31",38,3684,0,1.75,1,0.16,15,66.12,"Argentina","Argentina","derecho",183,79,"no",9.38,5.4,81,6.52,64.04,0.39,0.68,0.44,4.62,8.04,0.49,6,0.15,0,0,0.17,0,0,0,0.04,0,0,14,0.34,21.43,0,0.02,0.07,33.33,0.05,0,0.02,100,0,0.22,33.33,0.71,31.03,0.64,0.07,0,13.56,0.15,0.42,27.39,77.7,15,66.78,1.37,96.43,9.85,92.56,19.54,87.13,7.77,54.4,28.62,44.47,0,0,0.02,0,0,0,5.42,54.95,0.61,20,0.32,46.15,0.12,0.02,8.62,70.54,0,NA,0,NA,0,0,0,0,NA,NA,1.22,NA,0,0,0,0,0,0,"Argentina","GIM","ARG_GIM","Defensas","DEFENSAS_GIMNASIA_MENDOZA_D_MONDINO.png"
"D. Tello","Talleres Remedios","Talleres Remedios","GK",29,0,NA,37,3676,0,0,0,0,0.53,76.19,"Argentina","Argentina","derecho",190,85,"no",1.06,0.08,66.67,0.28,90.91,0.05,0.07,0,0.96,1.41,0.05,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,66.67,0.03,0,0,3.4,0.18,0.1,9.38,79.09,6.57,73.18,0.03,0,2.52,96,4.1,95.71,5.21,67.15,41.6,52.1,0,0,0,0,0,0,2.92,68.1,0.2,0,0.05,0,0.03,0,4.3,81.87,45,1.13,143,3.6,8,68.53,42.15,1.06,-2.85,-0.072,0,1.21,NA,NA,NA,0,0,0,"Argentina","TAL","ARG_TAL","Arqueros",NA
"G. Salort","Agropecuario","Agropecuario","GK",36,10000,NA,37,3583,0,0,0,0,0.5,85,"Argentina","Argentina","derecho",187,80,"no",1.38,0.05,50,0.3,91.67,0,0,0,1.36,2.02,0.03,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0,0,0,7.41,0.18,0.18,13.51,76.39,9.6,69.11,0,0,3.72,94.59,6.03,95.42,7.46,61.28,41.3,52.91,0,0,0,0,0,0,3.04,64.46,0.08,0,0,0,0,0,5.27,75.71,42,1.05,165,4.14,11,74.55,43.11,1.08,1.11,0.028,0,1,NA,NA,NA,0,0,0,"Argentina","AGR","ARG_AGR","Arqueros",NA
"H. Soria","Gimnasia Jujuy","Gimnasia Jujuy","RCMF",35,125000,"2025-12-31",37,3470,2,0.4,1,0.56,11.78,55.51,"Uruguay","Uruguay","derecho",173,79,"no",8.43,6.15,62.03,2.05,60.76,0.65,1.1,0.13,3.97,6.75,0.99,8,0.21,0,0,0.54,0.05,2,0.05,0.01,0,0,26,0.67,23.08,7.692,0.03,0.49,36.84,0.13,20,0.36,42.86,0,0.31,50,1.48,40.35,0.1,0.31,0,24.22,0.36,0.62,39.71,84,13.1,69.7,4.41,94.71,17.97,92.21,32.34,89.9,6.9,59.77,22.53,38.83,0.01,0,0,0.05,100,0.08,6.51,67.73,1.04,42.5,0.39,40,0.31,0.18,7.05,70.59,0,NA,0,NA,0,0,0,0,NA,NA,0.99,NA,0.03,0,0,0.05,0,0,"Argentina","GIJ","ARG_GIJ","Mediocampo",NA
"N. Dematei","Gimnasia Jujuy","Gimnasia Jujuy","LCB",37,25000,"2026-12-31",34,3383,1,1.14,2,1.46,11.07,64.42,"Argentina","Argentina","izquierdo",177,71,"no",6.86,3.67,77.54,2.02,47.37,0.21,0.37,0.43,3.8,6.67,0.48,12,0.32,1,0.03,0.85,0.03,1,0.03,0.03,1,0.03,18,0.48,33.33,5.556,0.05,0.43,75,0.37,78.57,0,0,0.08,0.51,73.68,2,58.67,0.67,1.12,0.03,23.57,0.59,1.54,40.54,80.91,21.02,68.99,2.42,98.9,14.77,94.77,29.58,89.21,10.56,57.93,27.05,41.63,0.04,0,0,0.03,0,0.11,10.08,65.7,1.49,64.29,0.85,50,0.74,0.32,12.05,79.47,0,NA,0,NA,0,0,0,0,NA,NA,1.7,NA,0.13,0,0,0,0,0,"Argentina","GIJ","ARG_GIJ","Defensas",NA
"J. Alessandroni","Club Atlético Mitre","Club Atlético Mitre","LCMF",36,75000,NA,35,3379,0,0.14,0,1.26,17.5,54.64,"Argentina","Argentina","derecho",179,71,"no",12.89,8.82,67.37,2.82,47.17,0.83,1.22,0.48,6.13,9.04,1.15,4,0.11,0,0,0.43,0,0,0,0,0,0,7,0.19,28.57,0,0,0.35,61.54,0.13,20,0.16,83.33,0.03,0.24,55.56,2.61,40.82,0.11,0.61,0.08,20.46,0.35,0.83,37.72,78.88,15.82,64.65,3.86,94.48,14.17,88.91,30.34,84.9,7.03,53.79,20.97,33.96,0.03,0,0,0.11,25,0.13,8.23,64.4,1.39,51.92,0.72,40.74,0.53,0.21,9.03,71.98,0,NA,0,NA,0,0,0,0,NA,NA,0.77,NA,0.03,0,0,0,0,0,"Argentina","MIT","ARG_MIT","Mediocampo",NA
"J. Sills","Agropecuario","Agropecuario","LCB",38,75000,NA,35,3348,0,0.69,0,0.41,10.75,61.5,"Argentina","Argentina, Italy","derecho",180,76,"no",7.53,4.06,71.52,2.82,64.76,0.16,0.23,0.56,4.46,6.48,0.7,5,0.13,1,0.03,0.32,0,0,0,0.02,0,0,11,0.3,9.09,0,0,0.19,14.29,0.08,0,0.11,25,0.05,0.38,71.43,1.59,54.24,0.24,0.62,0.11,23.71,0.59,0.65,40.78,80.95,21.42,73.65,2.26,92.86,14.11,90.48,31.72,87.8,8.87,57.88,23.93,39.42,0.01,0,0.03,0.05,0,0.08,5.97,61.71,0.67,12,0.38,28.57,0.08,0.05,10.32,69.27,0,NA,0,NA,0,0,0,0,NA,NA,1.24,NA,0.05,0.05,0,0.05,0,0,"Argentina","AGR","ARG_AGR","Defensas",NA
"M. Budiño","Estudiantes Caseros","Estudiantes Caseros","GK",30,175000,NA,34,3344,0,0,0,0,0.59,90.91,"Argentina","Argentina","derecho",186,73,"no",1.7,0.11,75,0.27,100,0,0,0,1.61,2.74,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,100,0,0,0,4.74,0.05,0.13,12.57,82.01,9.47,76.7,0.03,100,2.85,99.06,5.57,97.58,6.97,69.88,41.49,54.06,0,0,0.03,0,0,0,3.39,63.49,0.3,18.18,0.05,0,0.03,0,5.41,85.07,32,0.86,104,2.8,15,69.23,27.95,0.75,-4.05,-0.109,0.03,0.97,NA,NA,NA,0,0,0,"Argentina","EST","ARG_EST","Arqueros",NA
